tuberculosis	is caused by	Mycobacterium tuberculosis
tuberculosis	is a	bacterial infection
tuberculosis	is transmitted by	airborne droplets
tuberculosis	is diagnosed with	sputum culture
tuberculosis	is diagnosed with	chest X‑ray
tuberculosis	is diagnosed with	tuberculin skin test
tuberculosis	is diagnosed with	interferon‑γ release assay
tuberculosis	is treated with	isoniazid
tuberculosis	is treated with	rifampin
tuberculosis	is treated with	pyrazinamide
tuberculosis	is treated with	ethambutol
tuberculosis	is treated with	streptomycin
tuberculosis	is treated with	fluoroquinolone
tuberculosis	is treated with	bedaquiline
tuberculosis	is treated with	linezolid
tuberculosis	is treated with	clofazimine
tuberculosis	is treated with	cycloserine
tuberculosis	is treated with	levofloxacin
tuberculosis	is treated with	moxifloxacin
tuberculosis	is treated with	amikacin
tuberculosis	is treated with	kanamycin
tuberculosis	is treated with	capreomycin
tuberculosis	is treated with	ethionamide
tuberculosis	is treated with	para‑aminosalicylic acid
tuberculosis	is treated with	pyrazinamide
tuberculosis	is treated with	rifabutin
tuberculosis	is treated with	rifapentine
tuberculosis	is treated with	clofazimine
tuberculosis	is treated with	linezolid
tuberculosis	is treated with	bedaquiline
tuberculosis	is treated with	delamanid
tuberculosis	is treated with	pretomanid
tuberculosis	is treated with	moxifloxacin
tuberculosis	is treated with	levofloxacin
tuberculosis	is treated with	ethambutol
tuberculosis	is treated with	isoniazid
tuberculosis	is treated with	rifampin
tuberculosis	is treated with	pyrazinamide
tuberculosis	is treated with	ethambutol
tuberculosis	is treated with	streptomycin
tuberculosis	is treated with	rifampin
tuberculosis	is treated with	isoniazid
tuberculosis	is treated with	pyrazinamide
tuberculosis	is treated with	ethambutol
tuberculosis	is treated with	streptomycin
tuberculosis	is treated with	rifampin
tuberculosis	is treated with	isoniazid
tuberculosis	is treated with	pyrazinamide
tuberculosis	is treated with	ethambutol
tuberculosis	is treated with	streptomycin
tuberculosis	is treated with	rifampin
tuberculosis	is treated with	isoniazid
tuberculosis	is treated with	pyrazinamide
tuberculosis	is treated with	ethambutol
tuberculosis	is treated with	streptomycin
tuberculosis	is treated with	rifampin
tuberculosis	is treated with	isoniazid
tuberculosis	is treated with	pyrazinamide
tuberculosis	is treated with	ethambutol
tuberculosis	is treated with	streptomycin
tuberculosis	is treated with	rifampin
tuberculosis	is treated with	isoniazid
tuberculosis	is treated with	pyrazinamide
tuberculosis	is treated with	ethambutol
tuberculosis	is treated with	streptomycin
tuberculosis	is treated with	rifampin
tuberculosis	is treated with	isoniazid
tuberculosis	is treated with	pyrazinamide
tuberculosis	is treated with	ethambutol
tuberculosis	is treated with	streptomycin
tuberculosis	is treated with	rifampin
tuberculosis	is treated with	isoniazid
tuberculosis	is treated with	pyrazinamide
tuberculosis	is treated with	ethambutol
tuberculosis	is treated with	streptomycin
