cardiac dysrhythmias	is a	medical condition
atrial fibrillation	is a type of	cardiac dysrhythmias
atrial flutter	is a type of	cardiac dysrhythmias
ventricular tachycardia	is a type of	cardiac dysrhythmias
ventricular fibrillation	is a type of	cardiac dysrhythmias
supraventricular tachycardia	is a type of	cardiac dysrhythmias
atrial fibrillation	increases risk of	stroke
atrial fibrillation	increases risk of	systemic embolism
atrial fibrillation	increases risk of	heart failure
atrial fibrillation	increases risk of	death
cardiac dysrhythmias	increases risk of	hospitalization
hypertension	associated with	atrial fibrillation
diabetes mellitus	associated with	atrial fibrillation
obesity	associated with	atrial fibrillation
thyroid disease	associated with	atrial fibrillation
coronary artery disease	associated with	atrial fibrillation
kidney disease	associated with	atrial fibrillation
electrolyte disturbance	associated with	cardiac dysrhythmias
hypokalemia	precipitates	arrhythmias
hypomagnesemia	precipitates	torsades de pointes
torsades de pointes	associated with	prolonged QT interval
long QT interval	predisposes to	torsades de pointes
electrocardiography	detects	cardiac dysrhythmias
Holter monitor	records	arrhythmias
electrophysiology study	characterizes	arrhythmia substrate
echocardiography	evaluates	cardiac structure
atrial fibrillation	diagnosed by	electrocardiography
cardioversion	treats	atrial fibrillation
catheter ablation	treats	atrial fibrillation
anticoagulation therapy	reduces	stroke
warfarin	reduces	stroke
apixaban	reduces	stroke
dabigatran	reduces	stroke
rivaroxaban	reduces	stroke
anticoagulation therapy	reduces	systemic embolism
CHA2DS2-VASc score	estimates	stroke risk
atrial fibrillation	treated with	anticoagulation
atrial fibrillation	managed with	rate control
atrial fibrillation	managed with	rhythm control
rate control	maintains	hemodynamics
rhythm control	maintains	sinus rhythm
pacemaker	treats	bradycardia
implantable cardioverter-defibrillator	reduces	sudden cardiac death
defibrillation	terminates	ventricular fibrillation
magnesium	treats	torsades de pointes
amiodarone	treats	ventricular tachycardia
lidocaine	treats	ventricular tachycardia
beta-blocker	reduces	heart rate
calcium channel blocker	reduces	heart rate
digoxin	reduces	ventricular rate
electrical cardioversion	restores	sinus rhythm
postoperative atrial fibrillation	occurs after	cardiac surgery
atrial fibrillation	increases	length of stay
left atrial appendage closure device	prevents	stroke in atrial fibrillation
stroke	consequence of	atrial fibrillation
ischaemic heart disease	coexists with	atrial fibrillation
heart failure	accompanies	atrial fibrillation
valvular disease	predisposes to	atrial fibrillation
sleep apnea	associated with	atrial fibrillation
hypertension	complicates	atrial fibrillation management
obesity	complicates	atrial fibrillation management
diabetes mellitus	complicates	anticoagulation therapy management
older age	associated with	atrial fibrillation
smoking	increases	atrial fibrillation risk
alcohol use	associated with	atrial fibrillation
left atrial enlargement	predisposes to	atrial fibrillation
mitral stenosis	predisposes to	atrial fibrillation
valvular rheumatic disease	predisposes to	atrial fibrillation
kidney function	influences	anticoagulation dosing
bleeding risk	limits	anticoagulation therapy
intracranial hemorrhage	is a risk of	anticoagulation therapy
elderly patients	have higher incidence of	atrial fibrillation
mitral valve disease	increases	atrial fibrillation risk
hepatic disease	affects	pharmacokinetics of antiarrhythmic drugs
pharmacokinetics	vary with	age
readmission	associated with	arrhythmia management failure
emergency department visit	associated with	arrhythmia
electrical storm	is a complication of	ventricular tachycardia
recurrent arrhythmia	leads to	readmission
sedentary lifestyle	increases	atrial fibrillation risk
pacemaker	reduces	bradycardia-related hospitalization
catheter ablation	reduces	atrial fibrillation recurrence
anticoagulation	requires	INR monitoring
INR monitoring	ensures	therapeutic range
therapeutic range	relates to	bleeding risk
bleeding risk	informs	anticoagulation decision
elderly patients	have higher incidence of	atrial fibrillation
left atrial enlargement	increases	atrial fibrillation risk
left atrial appendage closure device	achieves	stroke prevention in atrial fibrillation
recurrence of atrial fibrillation	leads to	repeated hospitalizations
renal impairment	affects	pharmacodynamics of antiarrhythmic drugs
kidney function	influences	anticoagulation dosing
drug interactions	complicate	anticoagulation therapy
arrhythmia monitoring	improves	patient safety
tachyarrhythmia	occurs with	heart failure
cardiac arrest	can follow	ventricular fibrillation
defibrillation shock	terminates	ventricular fibrillation
IV magnesium	treats	torsades de pointes
stroke prevention	achieved by	anticoagulation therapy
readmission	reduced by	effective arrhythmia management
