esophageal cancer	is a	cancer
esophageal cancer	is a malignant neoplasm,
esophageal cancer	associated with	Barrett's esophagus
Barrett's esophagus	precursor to	esophageal adenocarcinoma
Barrett's esophagus	increases risk for	esophageal adenocarcinoma
smoking	is risk factor for	esophageal cancer
alcohol consumption	is risk factor for	esophageal cancer
GERD	is risk factor for	esophageal adenocarcinoma
obesity	is risk factor for	esophageal adenocarcinoma
male sex	is risk factor for	esophageal cancer
age	is risk factor for	esophageal cancer
achalasia	is risk factor for	esophageal squamous cell carcinoma
Plummer-Vinson syndrome	is risk factor for	esophageal squamous cell carcinoma
dysphagia	is symptom of	esophageal cancer
weight loss	is symptom of	esophageal cancer
odynophagia	is symptom of	esophageal cancer
chest pain	is symptom of	esophageal cancer
fatigue	is symptom of	esophageal cancer
anemia	associated with	esophageal cancer
endoscopy	is used for	diagnosis of esophageal cancer
biopsy	is used for	diagnosis of esophageal cancer
endoscopic ultrasound	is used for	staging of esophageal cancer
CT scan	is used for	staging of esophageal cancer
MRI	is used for	staging of esophageal cancer
PET-CT	is used for	staging of esophageal cancer
TNM staging	is used for	esophageal cancer
esophageal cancer	has	poor prognosis
liver metastasis	indicates	advanced esophageal cancer
lung metastasis	indicates	advanced esophageal cancer
bone metastasis	indicates	advanced esophageal cancer
brain metastasis	indicates	advanced esophageal cancer
esophageal cancer	treated with	esophagectomy
esophageal cancer	treated with	chemotherapy
esophageal cancer	treated with	radiotherapy
esophageal cancer	treated with	chemoradiation
esophageal cancer	treated with	immunotherapy
early-stage esophageal cancer	treated with	surgical resection
locally advanced esophageal cancer	treated with	neoadjuvant chemoradiation
neoadjuvant therapy	used for	downstaging of esophageal cancer
neoadjuvant chemoradiation	used for	esophageal cancer
esophageal cancer	prognosis influenced by	nodal involvement
nodal involvement	worsens	prognosis of esophageal cancer
tumor length	influences	prognosis of esophageal cancer
HER2 overexpression	biomarker for	trastuzumab response
trastuzumab	used for	HER2-positive esophageal cancer
HER2 overexpression	predictive for	trastuzumab response
PD-L1 expression	predictive for	immunotherapy response
p53 mutation	associated with	esophageal cancer
EGFR overexpression	associated with	poor prognosis
microsatellite instability	rare in	esophageal cancer
tumor mutational burden	correlates with	immunotherapy response in esophageal cancer
cervical lymph node metastasis	indicates	advanced esophageal cancer
recurrence	occurs after	esophageal cancer treatment
recurrence	worsens	prognosis of esophageal cancer
esophageal cancer	managed with	multidisciplinary care
multidisciplinary team	manages	esophageal cancer
nutrition support	improves	outcomes in esophageal cancer
enteral feeding	provides	nutrition in esophageal cancer
esophagectomy	is surgical procedure for	esophageal cancer
minimally invasive esophagectomy	is surgical option for	esophageal cancer
stent placement	provides	palliation for dysphagia in esophageal cancer
dilation	provides	temporary relief of dysphagia
anastomotic leak	is a complication of	esophagectomy
pneumonia	is a postoperative complication after	esophagectomy
recurrent laryngeal nerve injury	is a complication of	esophagectomy
postoperative radiotherapy	is used after	esophageal cancer surgery
postoperative chemotherapy	is used after	esophageal cancer surgery
paclitaxel	used for	esophageal cancer
cisplatin	used for	esophageal cancer
carboplatin	used for	esophageal cancer
5-fluorouracil	used for	esophageal cancer
oxaliplatin	used for	esophageal cancer
cetuximab	used for	esophageal cancer
ramucirumab	approved for	advanced esophageal cancer
nivolumab	approved for	advanced esophageal cancer
pembrolizumab	approved for	advanced esophageal cancer
trastuzumab	approved for	HER2-positive esophageal cancer
immunotherapy	benefits	esophageal cancer
imaging	informs	staging of esophageal cancer
endoscopy with biopsy	yields	tissue diagnosis for esophageal cancer
endoscopic resection	indicated for	early esophageal cancer
endoscopic mucosal resection	is method for	early esophageal cancer
endoscopic ablation	used for	Barrett's esophagus
Barrett's esophagus	surveilled with	annual endoscopy
endoscopic surveillance	reduces	progression to cancer in Barrett's esophagus
gastroesophageal junction	common site for	esophageal adenocarcinoma
esophageal squamous cell carcinoma	associated with	smoking
esophageal adenocarcinoma	associated with	GERD
esophageal cancer	often requires	palliation for dysphagia
staged surgery	tailored to	tumor stage in esophageal cancer
lymphadenopathy	associated with	advanced esophageal cancer
neutropenia	occurs with	chemotherapy for esophageal cancer
esophageal cancer	associated with	malnutrition
nutritional status	predicts	treatment tolerance in esophageal cancer
weight stabilization	improves	survival in esophageal cancer
sarcopenia	worsens	outcomes in esophageal cancer
postoperative recovery	depends on	nutritional status
quality of life	affected by	esophageal cancer treatments
survival rate	depends on	stage at diagnosis
tumor board	oversees	esophageal cancer treatment
clinical trial	offers	novel therapies for esophageal cancer
biomarker testing	guides	targeted therapy for esophageal cancer
HER2 testing	guides	trastuzumab therapy for esophageal cancer
PD-L1 testing	guides	checkpoint inhibitor therapy for esophageal cancer
micrometastasis	influences	prognosis of esophageal cancer
local control	achieved by	radiotherapy in esophageal cancer
