oral cancer	is a	malignant tumor
oral cancer	occurs in	tongue
oral cancer	occurs in	buccal mucosa
oral cancer	is treated with	surgery
oral cancer	is treated with	radiotherapy
oral cancer	is treated with	chemotherapy
oral cancer	increases risk of	metastasis
oral cancer	is diagnosed by	biopsy
oral cancer	is diagnosed by	imaging
oral cancer	is associated with	smoking
oral cancer	is associated with	alcohol
oral cancer	is associated with	HPV
oral cancer	causes	dysphagia
oral cancer	causes	pain
oral cancer	causes	weight loss
oral cancer	causes	speech difficulty
oral cancer	leads to	poor nutrition
oral cancer	leads to	reduced quality of life
oral cancer	leads to	mortality
oral cancer	has staging	TNM
oral cancer	has staging	FIGO
oral cancer	has biomarker	p16
oral cancer	has biomarker	EGFR
oral cancer	has biomarker	Ki-67
oral cancer	has risk factor	betel quid
oral cancer	has risk factor	poor oral hygiene
oral cancer	has risk factor	chronic irritation
oral cancer	has symptom	ulcer
oral cancer	has symptom	bleeding
oral cancer	has symptom	swelling
oral cancer	has symptom	numbness
oral cancer	has symptom	foul taste
oral cancer	has symptom	halitosis
oral cancer	has symptom	xerostomia
oral cancer	has symptom	taste alteration
oral cancer	has symptom	voice change
oral cancer	has symptom	trismus
oral cancer	has symptom	lymphadenopathy
oral cancer	has symptom	facial asymmetry
oral cancer	has symptom	facial pain
oral cancer	has symptom	facial swelling
oral cancer	has symptom	facial numbness
oral cancer	has symptom	facial weakness
oral cancer	has symptom	facial paralysis
oral cancer	has symptom	facial droop
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
oral cancer	has symptom	facial drooping
