gastroduodenal ulcer	is a	gastrointestinal disease
gastroduodenal ulcer	affects	stomach
gastroduodenal ulcer	affects	duodenum
gastroduodenal ulcer	causes	epigastric pain
gastroduodenal ulcer	causes	burning pain
gastroduodenal ulcer	causes	nausea
gastroduodenal ulcer	causes	vomiting
gastroduodenal ulcer	causes	bloating
gastroduodenal ulcer	causes	heartburn
gastroduodenal ulcer	causes	dyspepsia
gastroduodenal ulcer	is diagnosed with	endoscopy
gastroduodenal ulcer	is diagnosed with	biopsy
gastroduodenal ulcer	is diagnosed with	H. pylori test
gastroduodenal ulcer	is diagnosed with	urea breath test
gastroduodenal ulcer	is diagnosed with	stool antigen test
gastroduodenal ulcer	is diagnosed with	serology
gastroduodenal ulcer	is diagnosed with	imaging
gastroduodenal ulcer	is diagnosed with	laboratory test
gastroduodenal ulcer	is treated with	proton pump inhibitor
gastroduodenal ulcer	is treated with	H2 blocker
gastroduodenal ulcer	is treated with	antibiotics
gastroduodenal ulcer	is treated with	bismuth
gastroduodenal ulcer	is treated with	sucralfate
gastroduodenal ulcer	is treated with	antacids
gastroduodenal ulcer	is treated with	lifestyle change
gastroduodenal ulcer	is treated with	surgery
gastroduodenal ulcer	is treated with	endoscopic therapy
proton pump inhibitor	reduces	gastric acid
H2 blocker	reduces	gastric acid
antibiotics	eradicate	H. pylori
bismuth	protects	mucosa
sucralfate	coats	ulcer
antacids	neutralize	gastric acid
lifestyle change	reduces	ulcer risk
surgery	removes	ulcer site
endoscopic therapy	cauterizes	ulcer
H. pylori	causes	gastroduodenal ulcer
NSAIDs	cause	gastroduodenal ulcer
corticosteroids	cause	gastroduodenal ulcer
stress	exacerbates	gastroduodenal ulcer
alcohol	exacerbates	gastroduodenal ulcer
smoking	exacerbates	gastroduodenal ulcer
diet	influences	gastroduodenal ulcer
epigastric pain	predicts	ulcer severity
burning pain	predicts	ulcer severity
nausea	predicts	ulcer severity
vomiting	predicts	ulcer severity
bloating	predicts	ulcer severity
heartburn	predicts	ulcer severity
dyspepsia	predicts	ulcer severity
endoscopy	predicts	ulcer healing
biopsy	predicts	ulcer healing
H. pylori test	predicts	ulcer healing
urea breath test	predicts	ulcer healing
stool antigen test	predicts	ulcer healing
serology	predicts	ulcer healing
imaging	predicts	ulcer healing
laboratory test	predicts	ulcer healing
proton pump inhibitor	predicts	ulcer healing
H2 blocker	predicts	ulcer healing
antibiotics	predicts	ulcer healing
bismuth	predicts	ulcer healing
sucralfate	predicts	ulcer healing
antacids	predicts	ulcer healing
lifestyle change	predicts	ulcer healing
surgery	predicts	ulcer healing
endoscopic therapy	predicts	ulcer healing
H. pylori eradication	reduces	recurrence
NSAID cessation	reduces	recurrence
corticosteroid taper	reduces	recurrence
stress management	reduces	recurrence
alcohol abstinence	reduces	recurrence
smoking cessation	reduces	recurrence
dietary modification	reduces	recurrence
proton pump inhibitor	reduces	recurrence
H2 blocker	reduces	recurrence
antibiotics	reduces	recurrence
bismuth	reduces	recurrence
sucralfate	reduces	recurrence
antacids	reduces	recurrence
lifestyle change	reduces	recurrence
surgery	reduces	recurrence
endoscopic therapy	reduces	recurrence
epigastric pain	indicates	poor prognosis
burning pain	indicates	poor prognosis
nausea	indicates	poor prognosis
vomiting	indicates	poor prognosis
bloating	indicates	poor prognosis
heartburn	indicates	poor prognosis
dyspepsia	indicates	poor prognosis
H. pylori infection	indicates	higher mortality
NSAID use	indicates	higher mortality
corticosteroid use	indicates	higher mortality
stress	indicates	higher mortality
alcohol	indicates	higher mortality
smoking	indicates	higher mortality
dietary deficiency	indicates	higher mortality
proton pump inhibitor	indicates	lower mortality
H2 blocker	indicates	lower mortality
antibiotics	indicates	lower mortality
