colon cancer	is a	malignant neoplasm
colon cancer	located in	colon
colon cancer	metastasizes to	liver
colon cancer	metastasizes to	lung
colon cancer	metastasizes to	peritoneum
age	increases risk of	colon cancer
family history	increases risk of	colon cancer
inflammatory bowel disease	increases risk of	colon cancer
ulcerative colitis	increases risk of	colon cancer
Crohn's disease	increases risk of	colon cancer
Lynch syndrome	increases risk of	colon cancer
FAP	increases risk of	colon cancer
obesity	increases risk of	colon cancer
physical inactivity	increases risk of	colon cancer
smoking	increases risk of	colon cancer
alcohol	increases risk of	colon cancer
red meat consumption	increases risk of	colon cancer
high-fat diet	increases risk of	colon cancer
low-fiber diet	increases risk of	colon cancer
polyp	is precursor of	colon cancer
adenomatous polyp	progresses to	colon cancer
serrated polyp	progresses to	colon cancer
polyp removal	prevents progression to	colon cancer
CEA	is biomarker for	colon cancer
MSI testing	is performed for	colon cancer
microsatellite instability	indicates	colon cancer
colonoscopy	detects	colon cancer
biopsy	confirms	colon cancer
fecal immunochemical test	screens for	colon cancer
CT colonography	screens for	colon cancer
flexible sigmoidoscopy	screens for	colon cancer
MRI	used for	colon cancer staging
PET-CT	used for	colon cancer staging
TNM staging	used for	colon cancer
colon cancer	prognosis depends on	stage
stage II	prognosis better than	stage IV
surgical resection	is treatment for	colon cancer
colectomy	is surgical treatment for	colon cancer
partial colectomy	is used for	colon cancer
laparoscopic colectomy	is used for	colon cancer
open colectomy	is used for	colon cancer
adjuvant chemotherapy	is used for	colon cancer
FOLFOX	is used for	colon cancer
CAPOX	is used for	colon cancer
XELOX	is used for	colon cancer
bevacizumab	added to	colon cancer therapy
cetuximab	used for	KRAS wild-type colon cancer
panitumumab	used for	KRAS wild-type colon cancer
pembrolizumab	approved for	MSI-H colon cancer
nivolumab	approved for	MSI-H colon cancer
MSI-H	responds to	pembrolizumab
KRAS wild-type	responds to	cetuximab
BRAF mutation	confers	poor prognosis in colon cancer
tumor mutational burden	associated with	immunotherapy response in colon cancer
CEA level	correlates with	disease burden in colon cancer
liver metastasis	worsens prognosis of	colon cancer
peritoneal metastasis	worsens prognosis of	colon cancer
lung metastasis	worsens prognosis of	colon cancer
neoadjuvant therapy	used for	colon cancer
neoadjuvant chemotherapy	used for	colon cancer
lymph node involvement	worsens prognosis for	colon cancer
disease recurrence	indicates	colon cancer
lymphovascular invasion	indicates	aggressive colon cancer
tumor grade	is prognostic factor for	colon cancer
margin status	is prognostic for	colon cancer
stoma	created for	colon cancer surgery
postoperative ileus	may occur after	colon cancer surgery
anastomotic leak	is a complication of	colon cancer surgery
postoperative infection	is a complication of	colon cancer surgery
adjuvant radiotherapy	used for	colon cancer
colorectal surgery	performed for	colon cancer
surgical margin	influences outcome in	colon cancer
staging laparoscopy	used for	colon cancer
liver-directed therapy	used for	colon cancer liver metastases
hepatectomy	used for	colon cancer liver metastases
radiofrequency ablation	used for	colon cancer liver metastases
cryotherapy	used for	colon cancer liver metastases
palliative care	integrated with	colon cancer treatment
staging	determines treatment in	colon cancer
screening	reduces mortality from	colon cancer
lifestyle modification	reduces risk of	colon cancer
regular physical activity	reduces risk of	colon cancer
aspirin	reduces risk of	colon cancer
NSAIDs	reduce risk of	colorectal cancer
colorectal cancer screening guideline	recommends	colonoscopy
colorectal cancer	survival rate	depends on stage
five-year survival	depends on	stage at diagnosis
disease-free survival	is a metric for	colon cancer
progression-free survival	is a metric for	colon cancer
laparoscopic colectomy	improves	recovery
open colectomy	associated with	longer hospital stay
CT colonography	improves	staging accuracy
dMMR	present in	colon cancer
lymph node metastasis	indicates	advanced colon cancer
tumor	responds to	chemotherapy
recurrence	occurs after	curative colon cancer resection
ERBB2 amplification	occurs in	colon cancer
radiation therapy	palliates	colon cancer
colon cancer incidence	increases with	age
