anal fissure	is a	tear
anal fissure	causes	pain
anal fissure	leads to	bleeding
anal fissure	treated with	sitz bath
anal fissure	treated with	topical nitroglycerin
anal fissure	treated with	oral calcium channel blocker
anal fissure	treated with	surgical repair
anal fissure	associated with	constipation
anal fissure	associated with	pregnancy
anal fissure	associated with	inflammatory bowel disease
anal fissure	increases risk of	infection
anal fissure	increases risk of	recurrence
anal fissure	diagnosed by	anoscopy
anal fissure	diagnosed by	physical exam
anal fissure	diagnosed by	MRI
anal fissure	causes	reduced quality of life
anal fissure	causes	sleep disturbance
anal fissure	causes	anxiety
anal fissure	causes	depression
anal fissure	causes	urinary retention
anal fissure	causes	fecal incontinence
anal fissure	causes	delayed bowel movement
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
anal fissure	causes	increased stool softness
anal fissure	causes	increased stool consistency
anal fissure	causes	increased stool frequency
anal fissure	causes	increased stool volume
anal fissure	causes	increased stool hardness
