 b iliary tract disease	is a	group of disorders 
 biliary tract disease	includes	cholelithiasis 
 biliary tract disease	includes	cholangitis 
 biliary tract disease	includes	cholecystitis 
 biliary tract disease	includes	biliary obstruction 
 biliary tract disease	presents with	right upper quadrant pain 
 biliary tract disease	presents with	jaundice 
 biliary tract disease	presents with	fever 
 biliary tract disease	presents with	nausea 
 biliary tract disease	presents with	vomiting 
 biliary tract disease	associated with	biliary obstruction 
 biliary tract disease	associated with	cholestasis 
 biliary tract disease	diagnosed by	ultrasound 
 biliary tract disease	diagnosed by	MRCP 
 biliary tract disease	diagnosed by	ERCP 
 biliary tract disease	diagnosed by	CT scan 
 biliary tract disease	diagnosed by	blood tests 
 biliary tract disease	shows	bilirubin elevation 
 biliary tract disease	shows	alkaline phosphatase elevation 
 biliary tract disease	treated with	cholecystectomy 
 biliary tract disease	treated with	antibiotics 
 biliary tract disease	treated with	ERCP 
 biliary tract disease	treated with	biliary drainage 
 biliary tract disease	treated with	biliary stenting 
 biliary tract disease	treated with	ursodeoxycholic acid 
 biliary tract disease	managed with	analgesia 
 biliary tract disease	managed with	hydration 
 biliary tract disease	managed with	observation 
 biliary tract disease	requires	surgery 
 biliary tract disease	requires	endoscopy 
 biliary tract disease	risk factors	obesity 
 biliary tract disease	risk factors	female sex 
 biliary tract disease	risk factors	advanced age 
 biliary tract disease	risk factors	rapid weight loss 
 biliary tract disease	risk factors	diabetes mellitus 
 biliary tract disease	risk factors	metabolic syndrome 
 biliary tract disease	comorbidity	hypertension 
 biliary tract disease	comorbidity	dyslipidemia 
 biliary tract disease	prognosis	mortality 
 biliary tract disease	prognosis	readmission risk 
 biliary tract disease	complication	biliary sepsis 
 biliary tract disease	complication	pancreatitis 
 biliary tract disease	complication	biliary peritonitis 
 biliary tract disease	complication	cholangiocarcinoma 
 biliary tract disease	complication	gallbladder cancer 
 biliary tract disease	associated with	gallstones 
 biliary tract disease	imaging finding	gallbladder wall thickening 
 biliary tract disease	imaging finding	bile duct dilation 
 biliary tract disease	imaging finding	gallstones 
 biliary tract disease	imaging finding	gallbladder sludge 
 biliary tract disease	laboratory finding	leukocytosis 
 biliary tract disease	laboratory finding	elevated bilirubin 
 biliary tract disease	laboratory finding	elevated transaminases 
 biliary tract disease	laboratory finding	elevated alkaline phosphatase 
 biliary tract disease	treatment outcome	symptom relief 
 biliary tract disease	treatment outcome	resolution of obstruction 
 biliary tract disease	recurrence	gallstone recurrence 
 biliary tract disease	recurrence	stricture formation 
 biliary tract disease	epidemiology	prevalence 
 biliary tract disease	diagnostic test	liver function test 
 biliary tract disease	diagnostic test	bilirubin 
 biliary tract disease	diagnostic test	alkaline phosphatase 
 biliary tract disease	diagnostic test	gamma-glutamyl transferase 
 biliary tract disease	management	surgical management 
 biliary tract disease	management	medical management 
 biliary tract disease	management	radiologic intervention 
 biliary tract disease	management	observation 
 biliary tract disease	follow-up	imaging follow-up 
 biliary tract disease	follow-up	lab monitoring 
 biliary tract disease	etiology	cholesterol stones 
 biliary tract disease	etiology	pigment stones 
 biliary tract disease	pathophysiology	bile stasis 
 biliary tract disease	pathophysiology	cholesterol supersaturation 
 biliary tract disease	pathology	cholestasis 
 biliary tract disease	pathology	bile duct injury 
 biliary tract disease	health care utilization	hospital admission 
 biliary tract disease	health care utilization	ICU admission 
 biliary tract disease	population	adult 
 biliary tract disease	population	elderly 
 biliary tract disease	population	pediatric patients 
 biliary tract disease	health care setting	tertiary center 
 biliary tract disease	diagnostic criteria	imaging criteria 
 biliary tract disease	diagnostic criteria	laboratory criteria 
 biliary tract disease	clinical feature	right upper quadrant tenderness 
 biliary tract disease	patient education	diet modification 
 biliary tract disease	patient education	hydration 
 biliary tract disease	quality of life impact	reduced quality of life 
 biliary tract disease	transplant consideration	liver transplant 
 biliary tract disease	geographic distribution	global incidence 
 biliary tract disease	health care cost	hospitalization cost 
 biliary tract disease	resource use	imaging studies 
 biliary tract disease	coding	ICD code 
 biliary tract disease	research area	cholangiopathies 
 biliary tract disease	clinical trial status	active trials 
 biliary tract disease	surveillance priority	postoperative recovery 
 biliary tract disease	coding	diagnostic code 
 biliary tract disease	pathological stage	cirrhosis stage 
 biliary tract disease	genetic association	gallstone disease 
 biliary tract disease	health care disparity	geographic inequality 
 biliary tract disease	quality improvement target	readmission rate 
