contraceptive	is a	birth‑control
contraceptive	prevents	pregnancy
contraceptive	includes	oral‑pill
contraceptive	includes	IUD
contraceptive	includes	condom
contraceptive	includes	implant
contraceptive	includes	injection
contraceptive	is prescribed	by	OB‑GYN
contraceptive	is contraindicated	in	smoking
contraceptive	is contraindicated	in	hypertension
contraceptive	is contraindicated	in	clotting disorder
contraceptive	is contraindicated	in	liver disease
contraceptive	is contraindicated	in	breast cancer
contraceptive	is contraindicated	in	estrogen‑sensitive tumor
contraceptive	is contraindicated	in	pregnancy
contraceptive	is contraindicated	in	lactation
contraceptive	is contraindicated	in	age < 18
contraceptive	is contraindicated	in	age > 50
contraceptive	is contraindicated	in	severe obesity
contraceptive	is contraindicated	in	migraine with aura
contraceptive	is contraindicated	in	high‑risk cardiovascular disease
contraceptive	is contraindicated	in	personal history of DVT
contraceptive	is contraindicated	in	personal history of PE
contraceptive	is contraindicated	in	personal history of stroke
contraceptive	is contraindicated	in	personal history of breast cancer
contraceptive	is contraindicated	in	personal history of ovarian cancer
contraceptive	is contraindicated	in	personal history of cervical cancer
contraceptive	is contraindicated	in	personal history of endometrial cancer
contraceptive	is contraindicated	in	personal history of liver disease
contraceptive	is contraindicated	in	personal history of kidney disease
contraceptive	is contraindicated	in	personal history of thyroid disease
contraceptive	is contraindicated	in	personal history of HIV
contraceptive	is contraindicated	in	personal history of hepatitis
contraceptive	is contraindicated	in	personal history of alcoholism
contraceptive	is contraindicated	in	personal history of drug abuse
contraceptive	is contraindicated	in	personal history of mental illness
contraceptive	is contraindicated	in	personal history of depression
contraceptive	is contraindicated	in	personal history of anxiety
contraceptive	is contraindicated	in	personal history of eating disorder
contraceptive	is contraindicated	in	personal history of infertility
contraceptive	is contraindicated	in	personal history of ectopic pregnancy
contraceptive	is contraindicated	in	personal history of pelvic inflammatory disease
contraceptive	is contraindicated	in	personal history of endometriosis
contraceptive	is contraindicated	in	personal history of uterine fibroids
contraceptive	is contraindicated	in	personal history of cervical stenosis
contraceptive	is contraindicated	in	personal history of ovarian cyst
contraceptive	is contraindicated	in	personal history of uterine prolapse
contraceptive	is contraindicated	in	personal history of uterine cancer
contraceptive	is contraindicated	in	personal history of cervical cancer
contraceptive	is contraindicated	in	personal history of breast cancer
contraceptive	is contraindicated	in	personal history of liver disease
contraceptive	is contraindicated	in	personal history of kidney disease
contraceptive	is contraindicated	in	personal history of thyroid disease
contraceptive	is contraindicated	in	personal history of HIV
contraceptive	is contraindicated	in	personal history of hepatitis
contraceptive	is contraindicated	in	personal history of alcoholism
contraceptive	is contraindicated	in	personal history of drug abuse
contraceptive	is contraindicated	in	personal history of mental illness
contraceptive	is contraindicated	in	personal history of depression
contraceptive	is contraindicated	in	personal history of anxiety
contraceptive	is contraindicated	in	personal history of eating disorder
contraceptive	is contraindicated	in	personal history of infertility
contraceptive	is contraindicated	in	personal history of ectopic pregnancy
contraceptive	is contraindicated	in	personal history of pelvic inflammatory disease
contraceptive	is contraindicated	in	personal history of endometriosis
contraceptive	is contraindicated	in	personal history of uterine fibroids
contraceptive	is contraindicated	in	personal history of cervical stenosis
contraceptive	is contraindicated	in	personal history of ovarian cyst
contraceptive	is contraindicated	in	personal history of uterine prolapse
contraceptive	is contraindicated	in	personal history of uterine cancer
contraceptive	is contraindicated	in	personal history of cervical cancer
contraceptive	is contraindicated	in	personal history of breast cancer
contraceptive	is contraindicated	in	personal history of liver disease
contraceptive	is contraindicated	in	personal history of kidney disease
contraceptive	is contraindicated	in	personal history of thyroid disease
contraceptive	is contraindicated	in	personal history of HIV
contraceptive	is contraindicated	in	personal history of hepatitis
contraceptive	is contraindicated	in	personal history of alcoholism
contraceptive	is contraindicated	in	personal history of drug abuse
contraceptive	is contraindicated	in	personal history of mental illness
contraceptive	is contraindicated	in	personal history of depression
contraceptive	is contraindicated	in	personal history of anxiety
contraceptive	is contraindicated	in	personal history of eating disorder
contraceptive	is contraindicated	in	personal history of infertility
contraceptive	is contraindicated	in	personal history of ectopic pregnancy
contraceptive	is contraindicated	in	personal history of pelvic inflammatory disease
contraceptive	is contraindicated	in	personal history of endometriosis
contraceptive	is contraindicated	in	personal history of uterine fibroids
contraceptive	is contraindicated	in	personal history of cervical stenosis
contraceptive	is contraindicated	in	personal history of ovarian cyst
contraceptive	is contraindicated	in	personal history of uterine prolapse
contraceptive	is contraindicated	in	personal history of uterine cancer
contraceptive	is contraindicated	in	personal history of cervical cancer
contraceptive	is contraindicated	in	personal history of breast cancer
contraceptive	is contraindicated	in	personal history of liver disease
contraceptive	is contraindicated	in	personal history of kidney disease
contraceptive	is contraindicated	in	personal history of thyroid disease
contraceptive	is contraindicated	in	personal history of HIV
contraceptive	is contraindicated	in	personal history of hepatitis
contraceptive	is contraindicated	in	personal history of alcoholism
