nervous system congenital anomalies	are	developmental disorders
nervous system congenital anomalies	affect	brain
nervous system congenital anomalies	affect	spinal cord
nervous system congenital anomalies	cause	seizures
nervous system congenital anomalies	cause	intellectual disability
nervous system congenital anomalies	cause	motor delay
nervous system congenital anomalies	cause	vision loss
nervous system congenital anomalies	cause	hearing loss
nervous system congenital anomalies	cause	hydrocephalus
nervous system congenital anomalies	cause	microcephaly
nervous system congenital anomalies	cause	macrocephaly
nervous system congenital anomalies	cause	spina bifida
nervous system congenital anomalies	cause	anencephaly
nervous system congenital anomalies	cause	Chiari malformation
nervous system congenital anomalies	cause	lissencephaly
nervous system congenital anomalies	cause	polymicrogyria
nervous system congenital anomalies	cause	cortical dysplasia
nervous system congenital anomalies	cause	agenesis of corpus callosum
nervous system congenital anomalies	cause	holoprosencephaly
nervous system congenital anomalies	cause	encephalocele
nervous system congenital anomalies	are	genetic
nervous system congenital anomalies	are	chromosomal
nervous system congenital anomalies	are	teratogenic
nervous system congenital anomalies	are	sporadic
nervous system congenital anomalies	are	syndromic
nervous system congenital anomalies	are	non‑syndromic
nervous system congenital anomalies	are	autosomal dominant
nervous system congenital anomalies	are	autosomal recessive
nervous system congenital anomalies	are	X‑linked
nervous system congenital anomalies	are	mitochondrial
nervous system congenital anomalies	are	inherited
nervous system congenital anomalies	are	caused by	folate deficiency
nervous system congenital anomalies	are	caused by	maternal diabetes
nervous system congenital anomalies	are	caused by	Zika virus
nervous system congenital anomalies	are	caused by	rubella
nervous system congenital anomalies	are	caused by	teratogens
nervous system congenital anomalies	are	diagnosed by	MRI
nervous system congenital anomalies	are	diagnosed by	CT
nervous system congenital anomalies	are	diagnosed by	ultrasound
nervous system congenital anomalies	are	diagnosed by	karyotype
nervous system congenital anomalies	are	diagnosed by	microarray
nervous system congenital anomalies	are	diagnosed by	exome sequencing
nervous system congenital anomalies	are	diagnosed by	genetic counseling
nervous system congenital anomalies	are	treated with	surgery
nervous system congenital anomalies	are	treated with	shunting
nervous system congenital anomalies	are	treated with	antiepileptics
nervous system congenital anomalies	are	treated with	physical therapy
nervous system congenital anomalies	are	treated with	occupational therapy
nervous system congenital anomalies	are	treated with	speech therapy
nervous system congenital anomalies	are	treated with	cochlear implants
nervous system congenital anomalies	are	treated with	retinal implants
nervous system congenital anomalies	are	treated with	growth hormone
nervous system congenital anomalies	are	treated with	folinic acid
nervous system congenital anomalies	are	treated with	vitamin B12
nervous system congenital anomalies	are	treated with	anti‑inflammatory drugs
nervous system congenital anomalies	are	treated with	immunotherapy
nervous system congenital anomalies	are	treated with	gene therapy
nervous system congenital anomalies	are	treated with	stem cell therapy
nervous system congenital anomalies	are	monitored by	neuropsychology
nervous system congenital anomalies	are	monitored by	EEG
nervous system congenital anomalies	are	monitored by	neuroimaging
nervous system congenital anomalies	are	monitored by	developmental screening
nervous system congenital anomalies	are	monitored by	growth charts
nervous system congenital anomalies	are	monitored by	hearing tests
nervous system congenital anomalies	are	monitored by	vision tests
nervous system congenital anomalies	are	monitored by	cardiac evaluation
nervous system congenital anomalies	are	monitored by	renal evaluation
nervous system congenital anomalies	are	monitored by	endocrine evaluation
nervous system congenital anomalies	are	monitored by	metabolic screening
nervous system congenital anomalies	are	associated with	Down syndrome
nervous system congenital anomalies	are	associated with	Turner syndrome
nervous system congenital anomalies	are	associated with	Patau syndrome
nervous system congenital anomalies	are	associated with	Edwards syndrome
nervous system congenital anomalies	are	associated with	Fragile X
nervous system congenital anomalies	are	associated with	Rett syndrome
nervous system congenital anomalies	are	associated with	Angelman syndrome
nervous system congenital anomalies	are	associated with	Prader‑Willi syndrome
nervous system congenital anomalies	are	associated with	Smith‑Magenis syndrome
nervous system congenital anomalies	are	associated with	Noonan syndrome
nervous system congenital anomalies	are	associated with	Tuberous sclerosis
nervous system congenital anomalies	are	associated with	Neurofibromatosis
nervous system congenital anomalies	are	associated with	Sturge‑Weber syndrome
nervous system congenital anomalies	are	associated with	Angelman syndrome
nervous system congenital anomalies	are	associated with	Joubert syndrome
nervous system congenital anomalies	are	associated with	Dandy‑Walker malformation
nervous system congenital anomalies	are	associated with	microphthalmia
nervous system congenital anomalies	are	associated with	anophthalmia
nervous system congenital anomalies	are	associated with	cleft palate
nervous system congenital anomalies	are	associated with	cleft lip
nervous system congenital anomalies	are	associated with	cardiac defects
nervous system congenital anomalies	are	associated with	renal agenesis
nervous system congenital anomalies	are	associated with	skeletal anomalies
nervous system congenital anomalies	are	associated with	endocrine disorders
nervous system congenital anomalies	are	associated with	metabolic disorders
nervous system congenital anomalies	are	associated with	immune deficiencies
nervous system congenital anomalies	are	associated with	growth retardation
nervous system congenital anomalies	are	associated with	feeding difficulties
nervous system congenital anomalies	are	associated with	respiratory complications
nervous system congenital anomalies	are	associated with	orthopedic problems
nervous system congenital anomalies	are	associated with	psychosocial stress
