other fractures	is a	musculoskeletal injury
other fractures	may cause	pain
osteoporosis	is a risk factor for	other fractures
age	is a risk factor for	other fractures
female sex	is a risk factor for	other fractures
glucocorticoid use	is a risk factor for	other fractures
smoking	is a risk factor for	other fractures
alcohol use	is a risk factor for	other fractures
low body mass index	is a risk factor for	other fractures
prior fracture	is a risk factor for	other fractures
trauma	is a cause of	other fractures
low-energy fall	is a cause of	other fractures
high-energy trauma	is a cause of	other fractures
osteoporosis	worsens	fracture healing
X-ray	is used to diagnose	other fractures
CT scan	is used to diagnose	other fractures
MRI	is used to diagnose	other fractures
bone scan	is used to diagnose	other fractures
ultrasound	is used to diagnose	other fractures
cast	is used for	immobilization
splint	is used for	immobilization
sling	is used for	immobilization
open reduction	is used for	displaced fractures
closed reduction	is used for	displaced fractures
internal fixation	is used for	fractures
plate fixation	is used for	fractures
intramedullary nail	is used for	long bone fractures
external fixation	is used for	fractures
bone graft	is used for	fracture healing
bone graft	promotes	fracture healing
nonunion	is a complication of	fractures
malunion	is a complication of	fractures
infection	is a complication of	open fractures
osteomyelitis	is a complication of	fractures
fat embolism	is a complication of	long bone fractures
deep vein thrombosis	is a complication of	immobilization after fracture
pneumonia	is a complication of	prolonged immobilization after fracture
delayed healing	is a complication of	fractures
chronic pain	persists after	fractures
depression	worsens	fracture outcomes
diabetes mellitus	is associated with	fracture risk
renal insufficiency	is associated with	fracture risk
vitamin D deficiency	is a risk factor for	fractures
calcium deficiency	is a risk factor for	fractures
bisphosphonates	reduce risk of	subsequent fractures
denosumab	reduces risk of	vertebral fractures
teriparatide	accelerates healing of	fractures
calcium supplementation	reduces	fracture risk
vitamin D supplementation	improves	bone mineral density
calcium supplementation	improves	bone mineral density
physical therapy	improves	functional recovery after fractures
occupational therapy	improves	activities of daily living after fractures
immobilization	increases risk of	joint stiffness
early mobilization	improves	outcomes after fractures
endosteal healing	is a process of	fracture healing
callus formation	occurs during	fracture healing
bone remodeling	follows	fracture healing
osteoblastic activity	increases during	fracture healing
smoking cessation	improves	fracture healing
diabetes mellitus	impairs	fracture healing
hypocalcemia	is a risk factor for	fractures
nephrotoxicity	is a risk with	analgesics used in fractures
tetanus prophylaxis	is indicated for	open fractures
antibiotics	are indicated for	open fractures
osteomyelitis	can occur after	open fracture
soft tissue injury	accompanies	fractures
compartment syndrome	is a complication of	tibial fracture
nerve injury	occurs with	elbow fracture
vascular injury	may occur with	fracture-dislocation
hemorrhage	is a complication of	fracture surgery
skin necrosis	is a complication of	open fractures
posttraumatic arthritis	may develop after	intra-articular fractures
posttraumatic osteoarthritis	may develop after	articular fractures
nonunion rate	increases with	smoking
fat embolism syndrome	is a risk with	long bone fractures
pulmonary embolism	is a risk with	immobilization after fracture
infection	can complicate	fracture fixation
hardware failure	occurs with	fracture fixation
implant loosening	occurs with	fracture fixation
bone mineral density	predicts	fragility fractures
bone age	influences	healing time
blood loss	influences	transfusion rate during fracture surgery
operating time	is longer for	complex fractures
blood transfusion	is required for	major fractures
mortality	is increased in	hip fracture
readmission	is common after	fracture surgery
length of stay	is longer with	fracture complications
joint stiffness	persists after	fracture immobilization
ankle fracture	is common in	elderly population
hip fracture	increases	dependency after fracture
muscle atrophy	occurs with	immobilization after fracture
sarcopenia	increases risk of	falls leading to fractures
bone turnover	is altered by	immobilization
early fixation	improves	fracture outcomes
reoperation	is required for	failed fracture fixation
prosthesis failure	can occur after	fracture-related arthroplasty
trauma center	improves outcomes for	severe fractures
nurse coordination	influences	discharge planning after fracture
bone healing time	increases with	age
age	decreases	healing potential
