burns	are a	skin injury
burns	result from	heat
burns	result from	chemicals
burns	result from	electricity
burns	result from	radiation
burns	are classified by	depth
burns	are classified by	extent
burns	are classified by	cause
burns	are classified by	severity
burns	are classified by	body surface area
burns	are classified by	third‑degree
burns	are classified by	second‑degree
burns	are classified by	first‑degree
burns	are classified by	superficial
burns	are classified by	deep
burns	are classified by	partial‑thickness
burns	are classified by	full‑thickness
burns	are classified by	total‑body surface area
burns	are classified by	percentage
burns	are classified by	TBSA
burns	are classified by	inhalation
burns	are classified by	non‑inhalation
burns	are classified by	electrical
burns	are classified by	chemical
burns	are classified by	thermal
burns	are classified by	radiation
burns	are classified by	scald
burns	are classified by	flame
burns	are classified by	contact
burns	are classified by	friction
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
burns	are classified by	electrical
