medication poisoning	is a	medical emergency
drug overdose	is a type of	medication poisoning
acetaminophen	causes	hepatotoxicity
acetaminophen	is treated with	N‑acetylcysteine
opioid overdose	causes	respiratory depression
opioid overdose	is treated with	naloxone
benzodiazepine overdose	causes	CNS depression
benzodiazepine overdose	is treated with	flumazenil
antidepressant overdose	causes	serotonin syndrome
antidepressant overdose	is treated with	cyproheptadine
antipsychotic overdose	causes	neuroleptic malignant syndrome
antipsychotic overdose	is treated with	dantrolene
anticoagulant overdose	causes	intracranial hemorrhage
anticoagulant overdose	is treated with	vitamin K
warfarin overdose	is treated with	prothrombin complex concentrate
heparin overdose	is treated with	protamine sulfate
antibiotic overdose	causes	nephrotoxicity
vancomycin overdose	causes	nephrotoxicity
vancomycin overdose	is treated with	hydration
antifungal overdose	causes	hepatotoxicity
amiodarone overdose	causes	cardiotoxicity
amiodarone overdose	is treated with	beta‑blocker
beta‑blocker overdose	causes	bradycardia
beta‑blocker overdose	is treated with	glucagon
calcium channel blocker overdose	causes	hypotension
calcium channel blocker overdose	is treated with	calcium gluconate
cocaine overdose	causes	arrhythmia
cocaine overdose	is treated with	benzodiazepines
methamphetamine overdose	causes	hyperthermia
methamphetamine overdose	is treated with	cooling
heroin overdose	causes	hypoxia
heroin overdose	is treated with	naloxone
tramadol overdose	causes	seizures
tramadol overdose	is treated with	benzodiazepines
acetylcholinesterase inhibitor overdose	causes	cholinergic crisis
acetylcholinesterase inhibitor overdose	is treated with	atropine
sodium valproate overdose	causes	hepatic failure
sodium valproate overdose	is treated with	dialysis
phenytoin overdose	causes	gingival hyperplasia
phenytoin overdose	is treated with	hydration
clozapine overdose	causes	agranulocytosis
clozapine overdose	is treated with	granulocyte colony‑stimulating factor
statin overdose	causes	rhabdomyolysis
statin overdose	is treated with	aggressive hydration
NSAID overdose	causes	GI bleeding
NSAID overdose	is treated with	proton pump inhibitor
corticosteroid overdose	causes	Cushingoid features
corticosteroid overdose	is treated with	tapering
insulin overdose	causes	hypoglycemia
insulin overdose	is treated with	dextrose
glucagon overdose	causes	hyperglycemia
glucagon overdose	is treated with	insulin
anticholinergic overdose	causes	delirium
anticholinergic overdose	is treated with	physostigmine
benzodiazepine overdose	increases	risk of falls
opioid overdose	increases	risk of death
anticoagulant overdose	increases	risk of bleeding
antibiotic overdose	increases	risk of nephrotoxicity
antifungal overdose	increases	risk of hepatotoxicity
drug poisoning	leads to	ICU admission
drug poisoning	leads to	mechanical ventilation
drug poisoning	leads to	renal replacement therapy
drug poisoning	leads to	prolonged hospitalization
drug poisoning	leads to	increased mortality
drug poisoning	is associated with	high healthcare cost
drug poisoning	is associated with	readmission risk
drug poisoning	is associated with	post‑discharge complications
drug poisoning	is associated with	psychiatric comorbidity
drug poisoning	is associated with	substance use disorder
drug poisoning	is associated with	polypharmacy
drug poisoning	is associated with	elderly population
drug poisoning	is associated with	renal impairment
drug poisoning	is associated with	hepatic impairment
drug poisoning	is associated with	pregnancy
drug poisoning	is associated with	neonatal toxicity
drug poisoning	is associated with	drug‑drug interaction
drug poisoning	is associated with	medication error
drug poisoning	is associated with	caregiver negligence
drug poisoning	is associated with	storage error
drug poisoning	is associated with	counterfeit medication
drug poisoning	is associated with	intentional self‑harm
drug poisoning	is associated with	accidental ingestion
drug poisoning	is associated with	recreational drug use
drug poisoning	is associated with	overdose prevention program
drug poisoning	is associated with	naloxone distribution
drug poisoning	is associated with	prescription monitoring program
drug poisoning	is associated with	pharmacist counseling
drug poisoning	is associated with	patient education
drug poisoning	is associated with	electronic health record alert
drug poisoning	is associated with	toxicology screening
drug poisoning	is associated with	serum drug level
drug poisoning	is associated with	urine drug test
drug poisoning	is associated with	blood gas analysis
drug poisoning	is associated with	imaging study
drug poisoning	is associated with	cardiac monitoring
drug poisoning	is associated with	neurologic assessment
drug poisoning	is associated with	laboratory monitoring
drug poisoning	is associated with	clinical decision support
drug poisoning	is associated with	multidisciplinary team
drug poisoning	is associated with	post‑discharge follow‑up
