poisoning by nonmedicinal substances	is a	toxic exposure
poisoning by nonmedicinal substances	involves	chemical agents
poisoning by nonmedicinal substances	leads to	organ failure
poisoning by nonmedicinal substances	causes	respiratory distress
poisoning by nonmedicinal substances	results in	cardiac arrhythmia
poisoning by nonmedicinal substances	triggers	seizures
poisoning by nonmedicinal substances	can cause	hypoxia
poisoning by nonmedicinal substances	may cause	metabolic acidosis
poisoning by nonmedicinal substances	is treated with	antidote
poisoning by nonmedicinal substances	requires	ICU admission
poisoning by nonmedicinal substances	is associated with	high mortality
poisoning by nonmedicinal substances	increases	ICU length of stay
poisoning by nonmedicinal substances	is a risk factor for	readmission
poisoning by nonmedicinal substances	is a predictor of	long‑term disability
poisoning by nonmedicinal substances	is a cause of	emergency department visits
poisoning by nonmedicinal substances	is a reason for	hospital admission
poisoning by nonmedicinal substances	is a trigger for	organ support
poisoning by nonmedicinal substances	is a factor in	cost of care
poisoning by nonmedicinal substances	is a determinant of	ICU mortality
poisoning by nonmedicinal substances	is a cause of	renal failure
poisoning by nonmedicinal substances	is a cause of	hepatic injury
poisoning by nonmedicinal substances	is a cause of	neurologic deficit
poisoning by nonmedicinal substances	is a cause of	coagulation disorder
poisoning by nonmedicinal substances	is a cause of	electrolyte imbalance
poisoning by nonmedicinal substances	is a cause of	shock
poisoning by nonmedicinal substances	is a cause of	multi‑organ dysfunction
poisoning by nonmedicinal substances	is a cause of	pulmonary edema
poisoning by nonmedicinal substances	is a cause of	aspiration
poisoning by nonmedicinal substances	is a cause of	airway obstruction
poisoning by nonmedicinal substances	is a cause of	hypovolemia
poisoning by nonmedicinal substances	is a cause of	hyperthermia
poisoning by nonmedicinal substances	is a cause of	hypothermia
poisoning by nonmedicinal substances	is a cause of	skin blistering
poisoning by nonmedicinal substances	is a cause of	mucosal ulceration
poisoning by nonmedicinal substances	is a cause of	gastrointestinal bleeding
poisoning by nonmedicinal substances	is a cause of	vomiting
poisoning by nonmedicinal substances	is a cause of	diarrhea
poisoning by nonmedicinal substances	is a cause of	abdominal pain
poisoning by nonmedicinal substances	is a cause of	chest pain
poisoning by nonmedicinal substances	is a cause of	back pain
poisoning by nonmedicinal substances	is a cause of	headache
poisoning by nonmedicinal substances	is a cause of	dizziness
poisoning by nonmedicinal substances	is a cause of	confusion
poisoning by nonmedicinal substances	is a cause of	agitation
poisoning by nonmedicinal substances	is a cause of	coma
poisoning by nonmedicinal substances	is a cause of	death
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
poisoning by nonmedicinal substances	is a cause of	disability
