gangrene	is a	tissue necrosis
gangrene	occurs in	peripheral arteries
gangrene	is caused by	ischemia
gangrene	is caused by	infection
gangrene	is caused by	diabetes
gangrene	is caused by	smoking
gangrene	is caused by	trauma
gangrene	is caused by	embolism
gangrene	is caused by	vasculitis
gangrene	is a	complication of	peripheral arterial disease
gangrene	is a	complication of	diabetic foot
gangrene	is a	complication of	frostbite
gangrene	is a	complication of	crush injury
gangrene	is a	complication of	compartment syndrome
gangrene	is a	complication of	necrotizing fasciitis
gangrene	is a	complication of	septic emboli
gangrene	is a	complication of	radiation injury
gangrene	is a	complication of	venous stasis
gangrene	is a	complication of	trauma to the hand
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the lower limb
gangrene	is a	complication of	trauma to the upper limb
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the heel
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
gangrene	is a	complication of	trauma to the thigh
gangrene	is a	complication of	trauma to the calf
gangrene	is a	complication of	trauma to the foot
gangrene	is a	complication of	trauma to the toe
gangrene	is a	complication of	trauma to the ankle
gangrene	is a	complication of	trauma to the knee
gangrene	is a	complication of	trauma to the hip
