allergic reactions	are caused by	allergens
allergic reactions	are mediated by	IgE
IgE	binds to	mast cell
mast cell	releases	histamine
histamine	causes	itching
histamine	causes	vasodilation
allergic reactions	present with	urticaria
allergic reactions	associated with	angioedema
anaphylaxis	is a	severe allergic reaction
epinephrine	treats	anaphylaxis
epinephrine	is administered via	intramuscular injection
antihistamines	relieve	symptoms
corticosteroids	treat	allergic reaction
allergic reactions	diagnosed by	skin prick test
allergic reactions	diagnosed by	serum IgE
food allergen	triggers	allergic reaction
peanuts	trigger	anaphylaxis
shellfish	trigger	anaphylaxis
penicillin	cause	drug allergy
beta-lactam antibiotics	cause	drug allergy
ACE inhibitors	cause	angioedema
insect stings	trigger	anaphylaxis
latex	triggers	allergic contact dermatitis
antibiotics	cause	rash
rash	is a symptom of	allergic reaction
urticaria	is a symptom of	allergic reaction
angioedema	is a symptom of	allergic reaction
asthma	coexists with	allergic reactions
eczema	coexists with	allergic reactions
atopy	increases risk of	allergic reactions
family history	is a risk factor for	allergic reactions
serum tryptase	elevated in	anaphylaxis
skin prick test	diagnoses	allergy
oral food challenge	confirms	food allergy
serum IgE	correlates with	allergic reactions
eosinophils	elevated in	allergic reactions
immediate hypersensitivity	is a type of	allergic reaction
delayed-type hypersensitivity	is a type of	allergic reaction
epinephrine auto-injector	is used for	anaphylaxis
nebulized bronchodilator	treats	bronchospasm
bronchospasm	occurs in	allergic reactions
angioedema	can accompany	anaphylaxis
food labeling	reduces risk of	accidental exposure
peanut allergy	persists for	lifetime
peanut allergy	common in	children
egg allergy	common in	children
milk allergy	resolves in	childhood
wheat allergy	triggers	anaphylaxis
sesame allergy	causes	anaphylaxis
fish allergy	triggers	anaphylaxis
soy allergy	common in	children
cow's milk protein allergy	common in	infants
drug allergy	defined as	immune-mediated reaction
non-IgE-mediated allergy	involves	T cells
basophil activation test	used for	allergy evaluation
immunotherapy	reduces risk of	allergic reactions
subcutaneous immunotherapy	reduces risk of	allergic reaction
sublingual immunotherapy	reduces risk of	allergic reactions
seasonal pollen	triggers	allergic reaction
dust mite	triggers	allergic reaction
animal dander	triggers	allergic reaction
foods	triggers	allergic reactions
intranasal corticosteroids	relieve	allergic rhinitis symptoms
intranasal antihistamines	relieve	nasal symptoms
epinephrine pen	should be carried by	at-risk individuals
at-risk individuals	are identified by	allergy history
allergy history	informs	treatment plan
immunoglobulin E	is a biomarker for	allergy
IgG4	may block	IgE-mediated responses
oral immunotherapy	carries risk of	anaphylaxis
house dust mite	triggers	allergic reaction
tree pollen	triggers	allergic reaction
cat dander	triggers	allergic reaction
milk protein	triggers	allergic reaction
egg protein	triggers	allergic reaction
soy protein	triggers	allergic reaction
walnut allergy	is associated with	anaphylaxis
allergen labeling	aids	allergen avoidance
emergency action plan	includes	epinephrine
emergency department	treats	severe allergic reaction
clinical history	documents	allergies
allergies	inform	treatment decisions
allergy testing	informs	avoidance strategy
allergen exposure	triggers	immune response
IgE-mediated allergy	subset of	allergic reactions
non-IgE-mediated allergy	subset of	allergic reactions
bee venom immunotherapy	reduces risk of	systemic reactions
bee venom immunotherapy	used for	venom allergy
cross-reactivity	occurs between	foods
false-positive IgE tests	occur with	carbohydrate determinants
carbohydrate determinants	cause	false-positive IgE tests
seasonal allergic disease	worsened by	climate change
air quality	worsens	symptoms of allergic reactions
