firearm	is a	weapon
firearm	causes	injury
firearm	leads to	death
firearm	used in	homicide
firearm	used in	suicide
firearm	used in	accidental death
firearm	used in	assault
firearm	used in	self‑harm
firearm	is regulated by	law
firearm	requires	permit
firearm	requires	background check
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
firearm	is stored in	lock
firearm	is stored in	gun‑lock
firearm	is stored in	gun‑safety device
firearm	is stored in	safe
