e codes	identify	external causes
e code	maps to	icd category
e code	indicates	mechanism
e code	indicates	intent
e code	records	injury
e code	records	poisoning
e code	records	burn injury
e code	records	motor vehicle crash
e code	records	fall
e code	records	drowning
e code	records	poisoning by drug
e code	records	poisoning by chemical
e code	linked to	mortality
e code	linked to	hospitalization
e code	linked to	readmission
e code	linked to	length of stay
e code	linked to	icu admission
e code	associated with	age group
e code	associated with	sex
e code	associated with	comorbidity
e code	associated with	mortality risk
e code	associated with	injury severity
e code	associated with	place of occurrence
e code	associated with	activity
e code	associated with	mechanism
e code	associated with	body region
e code	associated with	transport accident
e code	associated with	pedestrian injury
e code	associated with	motorcycle crash
e code	associated with	firearms injury
e code	associated with	stab wound
e code	associated with	cut injury
e code	associated with	explosion injury
e code	associated with	electrocution
e code	associated with	drowning in water
e code	associated with	suffocation
e code	associated with	heat exposure
e code	associated with	cold exposure
e code	associated with	burns
e code	used for	surveillance
e code	used for	billing
e code	used for	discharge planning
e code	used for	risk stratification
e code	used for	public health reporting
e code	used for	epidemiology
e code	present in	hospital record
e code	present in	discharge summary
e code	present in	claim data
e code	present in	patient chart
e code	part of	external cause taxonomy
e code	contributes to	cost of care
e code	informs	patient education
e code	informs	prevention strategies
e code	relates to	work location
e code	relates to	home location
e code	relates to	school location
e code	relates to	sport activity
e code	correlates with	age group
e code	correlates with	gender
e code	correlates with	insurance type
e code	correlates with	socioeconomic status
e code	correlates with	poisoning severity
e code	correlates with	mortality burden
e code	aligns with	icd 10 chapter
e code	aligns with	icd 9 chapter
e code	used in	electronic health record
e code	documented in	registry
e code	encoded in	claims data
e code	assigned to	patient
e code	used for	quality metrics
e code	used for	performance measurement
e code	appears in	national statistics
e code	appears in	trauma dataset
e code	appears in	trauma registry
e code	supports	public health surveillance
e code	influences	hospital throughput
e code	influences	resource allocation
e code	reflects	injury risk
e code	reflects	environmental exposure
e code	reflects	behavioral factor
e code	maps to	external cause category
e code	maps to	injury class
e code	contributes to	billing code set
e code	contributes to	case mix index
e code	part of	vital statistics
e code	part of	injury coding
e code	part of	medical coding standard
e code	used in	accident reporting
e code	used in	injury prevention
e code	appears in	hospital dataset
e code	supports	triage decisions
e code	supports	prognosis estimation
e code	linked to	length of stay predictors
e code	linked to	readmission predictors
e code	associated with	hospital mortality
e code	associated with	discharge disposition
e code	used to classify	external injuries
e code	used in	accident reporting
e code	used in	injury prevention
e code	contributes to	public health metrics
