substance‑related disorders	are	mental illnesses
substance‑related disorders	involve	addiction
substance‑related disorders	include	alcohol use disorder
substance‑related disorders	include	opioid use disorder
substance‑related disorders	include	stimulant use disorder
substance‑related disorders	include	sedative use disorder
substance‑related disorders	include	cannabis use disorder
substance‑related disorders	are	chronic conditions
substance‑related disorders	cause	liver disease
substance‑related disorders	cause	cardiovascular disease
substance‑related disorders	cause	respiratory failure
substance‑related disorders	cause	infectious disease
substance‑related disorders	increase	mortality risk
substance‑related disorders	increase	readmission risk
substance‑related disorders	increase	emergency department visits
substance‑related disorders	increase	health care costs
substance‑related disorders	are	treatable
substance‑related disorders	are	preventable
substance‑related disorders	are	associated with	stigma
substance‑related disorders	are	associated with	unemployment
substance‑related disorders	are	associated with	homelessness
substance‑related disorders	are	associated with	criminal justice involvement
substance‑related disorders	are	associated with	psychiatric comorbidity
substance‑related disorders	are	associated with	social isolation
substance‑related disorders	are	associated with	impaired cognition
substance‑related disorders	are	associated with	impaired judgment
substance‑related disorders	are	associated with	impaired memory
substance‑related disorders	are	associated with	impaired decision‑making
substance‑related disorders	are	associated with	impaired impulse control
substance‑related disorders	are	associated with	impaired emotional regulation
substance‑related disorders	are	associated with	impaired social functioning
substance‑related disorders	are	associated with	impaired occupational functioning
substance‑related disorders	are	associated with	impaired academic functioning
substance‑related disorders	are	associated with	impaired family relationships
substance‑related disorders	are	associated with	impaired sexual health
substance‑related disorders	are	associated with	impaired reproductive health
substance‑related disorders	are	associated with	impaired fertility
substance‑related disorders	are	associated with	impaired pregnancy outcomes
substance‑related disorders	are	associated with	impaired fetal growth
substance‑related disorders	are	associated with	impaired neonatal health
substance‑related disorders	are	associated with	impaired infant development
substance‑related disorders	are	associated with	impaired child development
substance‑related disorders	are	associated with	impaired adolescent development
substance‑related disorders	are	associated with	impaired adult development
substance‑related disorders	are	associated with	impaired aging
substance‑related disorders	are	associated with	impaired longevity
substance‑related disorders	are	associated with	impaired quality of life
substance‑related disorders	are	associated with	impaired health‑related quality of life
substance‑related disorders	are	associated with	impaired mental health
substance‑related disorders	are	associated with	impaired physical health
substance‑related disorders	are	associated with	impaired functional status
substance‑related disorders	are	associated with	impaired social support
substance‑related disorders	are	associated with	impaired coping skills
substance‑related disorders	are	associated with	impaired resilience
substance‑related disorders	are	associated with	impaired self‑esteem
substance‑related disorders	are	associated with	impaired self‑efficacy
substance‑related disorders	are	associated with	impaired self‑care
substance‑related disorders	are	associated with	impaired self‑management
substance‑related disorders	are	associated with	impaired self‑monitoring
substance‑related disorders	are	associated with	impaired self‑regulation
substance‑related disorders	are	associated with	impaired self‑control
substance‑related disorders	are	associated with	impaired self‑discipline
substance‑related disorders	are	associated with	impaired self‑motivation
substance‑related disorders	are	associated with	impaired self‑confidence
substance‑related disorders	are	associated with	impaired self‑worth
substance‑related disorders	are	associated with	impaired self‑identity
substance‑related disorders	are	associated with	impaired self‑concept
substance‑related disorders	are	associated with	impaired self‑image
substance‑related disorders	are	associated with	impaired self‑perception
substance‑related disorders	are	associated with	impaired self‑awareness
substance‑related disorders	are	associated with	impaired self‑knowledge
substance‑related disorders	are	associated with	impaired self‑understanding
substance‑related disorders	are	associated with	impaired self‑reflection
substance‑related disorders	are	associated with	impaired self‑analysis
substance‑related disorders	are	associated with	impaired self‑evaluation
substance‑related disorders	are	associated with	impaired self‑assessment
substance‑related disorders	are	associated with	impaired self‑diagnosis
substance‑related disorders	are	associated with	impaired self‑treatment
substance‑related disorders	are	associated with	impaired self‑caregiving
substance‑related disorders	are	associated with	impaired self‑support
substance‑related disorders	are	associated with	impaired self‑help
substance‑related disorders	are	associated with	impaired self‑aid
substance‑related disorders	are	associated with	impaired self‑service
substance‑related disorders	are	associated with	impaired self‑management
substance‑related disorders	are	associated with	impaired self‑control
substance‑related disorders	are	associated with	impaired self‑discipline
substance‑related disorders	are	associated with	impaired self‑motivation
substance‑related disorders	are	associated with	impaired self‑confidence
substance‑related disorders	are	associated with	impaired self‑worth
substance‑related disorders	are	associated with	impaired self‑identity
substance‑related disorders	are	associated with	impaired self‑concept
substance‑related disorders	are	associated with	impaired self‑image
substance‑related disorders	are	associated with	impaired self‑perception
substance‑related disorders	are	associated with	impaired self‑awareness
substance‑related disorders	are	associated with	impaired self‑knowledge
substance‑related disorders	are	associated with	impaired self‑understanding
substance‑related disorders	are	associated with	impaired self‑reflection
substance‑related disorders	are	associated with	impaired self‑analysis
substance‑related disorders	are	associated with	impaired self‑evaluation
substance‑related disorders	are	associated with	impaired self‑assessment
