other infections	include	parasitic infections
parasitic infections	are caused by	protozoa
parasitic infections	are caused by	helminths
parasitic infections	are caused by	ectoparasites
protozoa	cause	malaria
protozoa	cause	giardiasis
protozoa	cause	amoebiasis
helminths	cause	schistosomiasis
helminths	cause	ascariasis
helminths	cause	hookworm infection
ectoparasites	cause	scabies
ectoparasites	cause	lice infestation
scabies	cause	dermatitis
lice infestation	cause	anemia
malaria	is diagnosed by	blood smear
giardiasis	is diagnosed by	stool antigen test
amoebiasis	is diagnosed by	colonoscopy
schistosomiasis	is diagnosed by	urine antigen test
ascariasis	is diagnosed by	stool microscopy
hookworm infection	is diagnosed by	serology
scabies	is treated with	permethrin
lice infestation	is treated with	permethrin
malaria	is treated with	artemisinin
giardiasis	is treated with	metronidazole
amoebiasis	is treated with	metronidazole
schistosomiasis	is treated with	praziquantel
ascariasis	is treated with	mebendazole
hookworm infection	is treated with	albendazole
malaria	increases	risk of anemia
giardiasis	increases	risk of malabsorption
amoebiasis	increases	risk of abscess
schistosomiasis	increases	risk of bladder cancer
ascariasis	increases	risk of malnutrition
hookworm infection	increases	risk of iron deficiency
scabies	increases	risk of secondary infection
lice infestation	increases	risk of anemia
malaria	predicts	hospitalization
giardiasis	predicts	readmission
amoebiasis	predicts	mortality
schistosomiasis	predicts	liver fibrosis
ascariasis	predicts	growth delay
hookworm infection	predicts	anemia severity
scabies	predicts	skin infection
lice infestation	predicts	school absenteeism
malaria	is associated with	fever
giardiasis	is associated with	diarrhea
amoebiasis	is associated with	abdominal pain
schistosomiasis	is associated with	hematuria
ascariasis	is associated with	cough
hookworm infection	is associated with	fatigue
scabies	is associated with	itching
lice infestation	is associated with	pruritus
malaria	is transmitted by	Anopheles mosquito
giardiasis	is transmitted by	contaminated water
amoebiasis	is transmitted by	contaminated food
schistosomiasis	is transmitted by	freshwater snail
ascariasis	is transmitted by	soil contamination
hookworm infection	is transmitted by	skin contact
scabies	is transmitted by	close contact
lice infestation	is transmitted by	shared bedding
malaria	is prevented by	bed nets
giardiasis	is prevented by	water filtration
amoebiasis	is prevented by	boiling water
schistosomiasis	is prevented by	snail control
ascariasis	is prevented by	sanitation
hookworm infection	is prevented by	footwear
scabies	is prevented by	hygiene
lice infestation	is prevented by	hygiene
malaria	is a risk factor for	pregnancy complications
giardiasis	is a risk factor for	growth faltering
amoebiasis	is a risk factor for	liver abscess
schistosomiasis	is a risk factor for	portal hypertension
ascariasis	is a risk factor for	cognitive delay
hookworm infection	is a risk factor for	anemia in pregnancy
scabies	is a risk factor for	sepsis
lice infestation	is a risk factor for	iron deficiency
malaria	is a cause of	cerebral malaria
giardiasis	is a cause of	chronic diarrhea
amoebiasis	is a cause of	dysentery
schistosomiasis	is a cause of	bladder stones
ascariasis	is a cause of	intestinal obstruction
hookworm infection	is a cause of	protein loss
scabies	is a cause of	skin lesions
lice infestation	is a cause of	scalp dermatitis
malaria	is monitored by	parasite density
giardiasis	is monitored by	antigen levels
amoebiasis	is monitored by	antibody titers
schistosomiasis	is monitored by	egg count
ascariasis	is monitored by	worm burden
hookworm infection	is monitored by	fecal iron
scabies	is monitored by	lesion count
lice infestation	is monitored by	nymph count
malaria	is treated with	chloroquine
giardiasis	is treated with	tinidazole
amoebiasis	is treated with	paromomycin
schistosomiasis	is treated with	oxamniquine
ascariasis	is treated with	pyrantel pamoate
hookworm infection	is treated with	ivermectin
scabies	is treated with	benzyl benzoate
lice infestation	is treated with	malathion
