retinal detachment	is a	eye emergency
retinal detachment	causes	vision loss
retinal detachment	is treated with	vitrectomy
retinal detachment	is treated with	scleral buckle
retinal detachment	is treated with	laser photocoagulation
retinal detachment	is diagnosed by	ophthalmoscopy
retinal detachment	is diagnosed by	optical coherence tomography
retinal detachment	increases risk of	macular edema
retinal detachment	increases risk of	proliferative vitreoretinopathy
retinal detachment	is associated with	high myopia
retinal detachment	is associated with	trauma
retinal detachment	is associated with	cataract surgery
retinal detachment	is associated with	diabetic retinopathy
retinal detachment	is associated with	retinal tear
retinal detachment	is associated with	rhegmatogenous detachment
retinal detachment	is associated with	tractional detachment
retinal detachment	is associated with	exudative detachment
retinal detachment	is associated with	retinal dialysis
retinal detachment	is associated with	posterior vitreous detachment
retinal detachment	is associated with	vitreous hemorrhage
retinal detachment	is associated with	ocular hypertension
retinal detachment	is associated with	ocular inflammation
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular surgery
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular tumor
retinal detachment	is associated with	ocular genetics
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular inflammation
retinal detachment	is associated with	ocular hypertension
retinal detachment	is associated with	ocular tumor
retinal detachment	is associated with	ocular genetics
retinal detachment	is associated with	ocular surgery
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular inflammation
retinal detachment	is associated with	ocular hypertension
retinal detachment	is associated with	ocular tumor
retinal detachment	is associated with	ocular genetics
retinal detachment	is associated with	ocular surgery
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular inflammation
retinal detachment	is associated with	ocular hypertension
retinal detachment	is associated with	ocular tumor
retinal detachment	is associated with	ocular genetics
retinal detachment	is associated with	ocular surgery
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular inflammation
retinal detachment	is associated with	ocular hypertension
retinal detachment	is associated with	ocular tumor
retinal detachment	is associated with	ocular genetics
retinal detachment	is associated with	ocular surgery
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular inflammation
retinal detachment	is associated with	ocular hypertension
retinal detachment	is associated with	ocular tumor
retinal detachment	is associated with	ocular genetics
retinal detachment	is associated with	ocular surgery
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular inflammation
retinal detachment	is associated with	ocular hypertension
retinal detachment	is associated with	ocular tumor
retinal detachment	is associated with	ocular genetics
retinal detachment	is associated with	ocular surgery
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular inflammation
retinal detachment	is associated with	ocular hypertension
retinal detachment	is associated with	ocular tumor
retinal detachment	is associated with	ocular genetics
retinal detachment	is associated with	ocular surgery
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular inflammation
retinal detachment	is associated with	ocular hypertension
retinal detachment	is associated with	ocular tumor
retinal detachment	is associated with	ocular genetics
retinal detachment	is associated with	ocular surgery
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular inflammation
retinal detachment	is associated with	ocular hypertension
retinal detachment	is associated with	ocular tumor
retinal detachment	is associated with	ocular genetics
retinal detachment	is associated with	ocular surgery
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular inflammation
retinal detachment	is associated with	ocular hypertension
retinal detachment	is associated with	ocular tumor
retinal detachment	is associated with	ocular genetics
retinal detachment	is associated with	ocular surgery
retinal detachment	is associated with	ocular trauma
retinal detachment	is associated with	ocular infection
retinal detachment	is associated with	ocular inflammation
