essential hypertension	is a	chronic condition
essential hypertension	is risk factor for	stroke
essential hypertension	is risk factor for	myocardial infarction
essential hypertension	is risk factor for	heart failure
essential hypertension	is risk factor for	chronic kidney disease
essential hypertension	is risk factor for	end-stage renal disease
essential hypertension	increases	cardiovascular risk
essential hypertension	contributes to	left ventricular hypertrophy
essential hypertension	leads to	arterial stiffness
essential hypertension	causes	target organ damage
essential hypertension	accelerates	atherosclerosis
essential hypertension	associated with	diabetes mellitus
essential hypertension	associated with	obesity
essential hypertension	associated with	dyslipidemia
essential hypertension	associated with	sleep apnea
essential hypertension	associated with	smoking
essential hypertension	associated with	alcohol use
age	is associated with	essential hypertension
obesity	is risk factor for	essential hypertension
sodium intake	influences	blood pressure
physical activity	reduces	blood pressure
weight loss	reduces	blood pressure
DASH diet	reduces	blood pressure
sodium restriction	reduces	blood pressure
thiazide diuretic	treats	essential hypertension
ACE inhibitor	treats	essential hypertension
ARB	treats	essential hypertension
calcium channel blocker	treats	essential hypertension
beta blocker	treats	essential hypertension
minoxidil	used for	resistant hypertension
spironolactone	used for	resistant hypertension
ACE inhibitor	protects	kidney function
ARB	protects	kidney function
ACE inhibitor	reduces	proteinuria
ARB	reduces	proteinuria
renal function	improves with	blood pressure control
proteinuria	indicates	kidney damage
microalbuminuria	indicates	early kidney damage
kidney damage	worsens	blood pressure control
hypertensive retinopathy	indicates	retinal vascular damage
left ventricular hypertrophy	is consequence of	hypertension
arterial remodeling	occurs with	hypertension
vascular remodeling	leads to	arterial stiffness
hypertension duration	relates to	end-organ damage
renin-angiotensin system activation	is involved in	hypertension
sympathetic nervous system overactivity	is involved in	hypertension
endothelial dysfunction	associated with	hypertension
inflammation	associated with	hypertension
oxidative stress	associated with	hypertension
uric acid	associated with	hypertension
creatinine	elevated in	hypertensive nephropathy
eGFR	declines with	hypertension
DASH diet	lowers	systolic blood pressure
ACE inhibitor therapy	reduces	stroke risk
ARB therapy	reduces	stroke risk
lipids	require	management with hypertension
diabetes mellitus	worsens	hypertension outcomes
sleep apnea	worsens	hypertension control
white coat hypertension	is a form of	hypertension
masked hypertension	is a form of	hypertension
ambulatory blood pressure monitoring	used for	hypertension evaluation
home blood pressure monitoring	used for	hypertension management
central blood pressure	predicts	cardiovascular risk
hypertensive retinopathy	indicates	retinal vascular damage
stroke risk	higher in	hypertensive patients
ischemic heart disease	risk increased by	hypertension
cardiovascular mortality	associated with	hypertension
renal artery stenosis	confounds	hypertension diagnosis
therapy adherence	influences	hypertension control
adherence	influences	hospitalization risk
hospitalization for hypertension	increases	long-term mortality
acute hypertension	triggers	emergency department visit
hypertensive crisis	is category of	hypertension
care management	improves	hypertension control
BP goal	guides	therapy decisions
blood pressure target	derived from	guidelines
family history	associated with	essential hypertension
genetics	influence	essential hypertension
polymorphism	associated with	essential hypertension
salt sensitivity	observed in	essential hypertension
cerebrovascular disease	risk increased by	essential hypertension
cardiovascular disease	prevalence higher with	essential hypertension
kidney disease	risk increased with	essential hypertension
hypertension prevalence	increases with	age
age	increases	hypertension prevalence
smoking	contributes to	hypertension development
alcohol use	contributes to	hypertension development
exercise program	reduces	blood pressure
stress	raises	blood pressure
salt intake	raises	blood pressure
potassium intake	modulates	blood pressure
coffee consumption	raises	blood pressure
family history	increases risk for	essential hypertension
ethnicity	influences	hypertension prevalence
vascular smooth muscle tone	altered in	hypertension
endothelin	elevated in	hypertension
resistant hypertension	defined as	uncontrolled blood pressure despite therapy
therapy adherence	reduces	hospitalization risk
hypertension management	reduces	cardiovascular events
DASH diet	lowers	systolic blood pressure
sodium restriction	lowers	diastolic blood pressure
low-sodium diet	reduces	hypertension risk
exercise program	reduces	hypertension risk
weight management program	reduces	hypertension risk
blood pressure target	guides	therapy decisions
blood pressure control	improves	quality of life
