antifibrinolytics	inhibit	fibrinolysis
antifibrinolytics	reduce	bleeding
antifibrinolytics	used in	surgery
antifibrinolytics	used in	trauma
antifibrinolytics	used in	obstetrics
antifibrinolytics	used in	cardiac
antifibrinolytics	used in	liver
antifibrinolytics	used in	neurosurgery
antifibrinolytics	used in	orthopedic
antifibrinolytics	used in	dental
antifibrinolytics	reduce	transfusion
antifibrinolytics	reduce	transfusion volume
antifibrinolytics	reduce	transfusion cost
antifibrinolytics	reduce	reoperation
antifibrinolytics	reduce	reoperation rate
antifibrinolytics	reduce	reoperation risk
antifibrinolytics	reduce	reoperation time
antifibrinolytics	reduce	reoperation incidence
antifibrinolytics	reduce	reoperation frequency
antifibrinolytics	reduce	reoperation probability
antifibrinolytics	reduce	reoperation likelihood
antifibrinolytics	reduce	reoperation necessity
antifibrinolytics	reduce	reoperation need
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
antifibrinolytics	reduce	reoperation requirement
