low‑ceiling diuretics	exclude	thiazides
low‑ceiling diuretics	treat	hypertension
low‑ceiling diuretics	reduce	edema
low‑ceiling diuretics	increase	potassium excretion
low‑ceiling diuretics	cause	hypokalemia
low‑ceiling diuretics	cause	metabolic alkalosis
low‑ceiling diuretics	cause	hyperuricemia
low‑ceiling diuretics	cause	hyperglycemia
low‑ceiling diuretics	cause	hyperlipidemia
low‑ceiling diuretics	cause	gout flare
low‑ceiling diuretics	contraindicated	pregnancy
low‑ceiling diuretics	contraindicated	renal failure
low‑ceiling diuretics	contraindicated	severe hepatic disease
low‑ceiling diuretics	contraindicated	electrolyte imbalance
low‑ceiling diuretics	contraindicated	dehydration
low‑ceiling diuretics	contraindicated	diabetes mellitus
low‑ceiling diuretics	contraindicated	hyperthyroidism
low‑ceiling diuretics	contraindicated	hypovolemia
low‑ceiling diuretics	contraindicated	severe anemia
low‑ceiling diuretics	contraindicated	severe hypotension
low‑ceiling diuretics	contraindicated	severe hypernatremia
low‑ceiling diuretics	contraindicated	severe hyponatremia
low‑ceiling diuretics	contraindicated	severe hypocalcemia
low‑ceiling diuretics	contraindicated	severe hypomagnesemia
low‑ceiling diuretics	contraindicated	severe hypophosphatemia
low‑ceiling diuretics	contraindicated	severe hypercalcemia
low‑ceiling diuretics	contraindicated	severe hypermagnesemia
low‑ceiling diuretics	contraindicated	severe hyperphosphatemia
low‑ceiling diuretics	contraindicated	severe hyperuricemia
low‑ceiling diuretics	contraindicated	severe hyperlipidemia
low‑ceiling diuretics	contraindicated	severe hyperglycemia
low‑ceiling diuretics	contraindicated	severe hyperkalemia
low‑ceiling diuretics	contraindicated	severe hypokalemia
low‑ceiling diuretics	contraindicated	severe hypernatremia
low‑ceiling diuretics	contraindicated	severe hyponatremia
low‑ceiling diuretics	contraindicated	severe hypermagnesemia
low‑ceiling diuretics	contraindicated	severe hypomagnesemia
low‑ceiling diuretics	contraindicated	severe hyperphosphatemia
low‑ceiling diuretics	contraindicated	severe hypophosphatemia
low‑ceiling diuretics	contraindicated	severe hyperuricemia
low‑ceiling diuretics	contraindicated	severe hyperlipidemia
low‑ceiling diuretics	contraindicated	severe hyperglycemia
low‑ceiling diuretics	contraindicated	severe hyperkalemia
low‑ceiling diuretics	contraindicated	severe hypokalemia
low‑ceiling diuretics	contraindicated	severe hypernatremia
low‑ceiling diuretics	contraindicated	severe hyponatremia
low‑ceiling diuretics	contraindicated	severe hypermagnesemia
low‑ceiling diuretics	contraindicated	severe hypomagnesemia
low‑ceiling diuretics	contraindicated	severe hyperphosphatemia
low‑ceiling diuretics	contraindicated	severe hypophosphatemia
low‑ceiling diuretics	contraindicated	severe hyperuricemia
low‑ceiling diuretics	contraindicated	severe hyperlipidemia
low‑ceiling diuretics	contraindicated	severe hyperglycemia
low‑ceiling diuretics	contraindicated	severe hyperkalemia
low‑ceiling diuretics	contraindicated	severe hypokalemia
low‑ceiling diuretics	contraindicated	severe hypernatremia
low‑ceiling diuretics	contraindicated	severe hyponatremia
low‑ceiling diuretics	contraindicated	severe hypermagnesemia
low‑ceiling diuretics	contraindicated	severe hypomagnesemia
low‑ceiling diuretics	contraindicated	severe hyperphosphatemia
low‑ceiling diuretics	contraindicated	severe hypophosphatemia
low‑ceiling diuretics	contraindicated	severe hyperuricemia
low‑ceiling diuretics	contraindicated	severe hyperlipidemia
low‑ceiling diuretics	contraindicated	severe hyperglycemia
low‑ceiling diuretics	contraindicated	severe hyperkalemia
low‑ceiling diuretics	contraindicated	severe hypokalemia
low‑ceiling diuretics	contraindicated	severe hypernatremia
low‑ceiling diuretics	contraindicated	severe hyponatremia
low‑ceiling diuretics	contraindicated	severe hypermagnesemia
low‑ceiling diuretics	contraindicated	severe hypomagnesemia
low‑ceiling diuretics	contraindicated	severe hyperphosphatemia
low‑ceiling diuretics	contraindicated	severe hypophosphatemia
low‑ceiling diuretics	contraindicated	severe hyperuricemia
low‑ceiling diuretics	contraindicated	severe hyperlipidemia
low‑ceiling diuretics	contraindicated	severe hyperglycemia
low‑ceiling diuretics	contraindicated	severe hyperkalemia
low‑ceiling diuretics	contraindicated	severe hypokalemia
low‑ceiling diuretics	contraindicated	severe hypernatremia
low‑ceiling diuretics	contraindicated	severe hyponatremia
low‑ceiling diuretics	contraindicated	severe hypermagnesemia
low‑ceiling diuretics	contraindicated	severe hypomagnesemia
low‑ceiling diuretics	contraindicated	severe hyperphosphatemia
low‑ceiling diuretics	contraindicated	severe hypophosphatemia
low‑ceiling diuretics	contraindicated	severe hyperuricemia
low‑ceiling diuretics	contraindicated	severe hyperlipidemia
low‑ceiling diuretics	contraindicated	severe hyperglycemia
low‑ceiling diuretics	contraindicated	severe hyperkalemia
low‑ceiling diuretics	contraindicated	severe hypokalemia
low‑ceiling diuretics	contraindicated	severe hypernatremia
low‑ceiling diuretics	contraindicated	severe hyponatremia
low‑ceiling diuretics	contraindicated	severe hypermagnesemia
low‑ceiling diuretics	contraindicated	severe hypomagnesemia
low‑ceiling diuretics	contraindicated	severe hyperphosphatemia
low‑ceiling diuretics	contraindicated	severe hypophosphatemia
low‑ceiling diuretics	contraindicated	severe hyperuricemia
low‑ceiling diuretics	contraindicated	severe hyperlipidemia
low‑ceiling diuretics	contraindicated	severe hyperglycemia
low‑ceiling diuretics	contraindicated	severe hyperkalemia
low‑ceiling diuretics	contraindicated	severe hypokalemia
low‑ceiling diuretics	contraindicated	severe hypernatremia
