ARBs	inhibit	angiotensin II
ARBs	reduce	blood pressure
ARBs	treat	hypertension
ARBs	prevent	heart failure
ARBs	lower	proteinuria
ARBs	protect	kidneys
ARBs	improve	survival
ARBs	reduce	stroke risk
ARBs	decrease	myocardial infarction
ARBs	mitigate	arrhythmia
ARBs	are	antihypertensive
ARBs	are	renin‑angiotensin blocker
ARBs	are	oral medication
ARBs	are	once‑daily
ARBs	are	well‑tolerated
ARBs	cause	hyperkalemia
ARBs	cause	dizziness
ARBs	cause	cough
ARBs	cause	renal dysfunction
ARBs	contraindicated	pregnancy
ARBs	contraindicated	severe renal failure
ARBs	contraindicated	hyperkalemia
ARBs	contraindicated	ACE‑inhibitor overlap
ARBs	interact	diuretics
ARBs	interact	NSAIDs
ARBs	interact	potassium supplements
ARBs	interact	cytochrome P450
ARBs	are	available	lisinopril
ARBs	are	available	losartan
ARBs	are	available	valsartan
ARBs	are	available	candesartan
ARBs	are	available	irbesartan
ARBs	are	available	telmisartan
ARBs	are	available	eprosartan
ARBs	are	available	azilsartan
ARBs	are	available	olmesartan
ARBs	are	available	losartan‑valsartan
ARBs	are	available	losartan‑irbesartan
ARBs	are	available	losartan‑candesartan
ARBs	are	available	losartan‑telmisartan
ARBs	are	available	losartan‑azilsartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑eprosartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
ARBs	are	available	losartan‑olmesartan
