anti‑acne preparations	are	systemic drugs
anti‑acne preparations	treat	acne vulgaris
anti‑acne preparations	include	isotretinoin
anti‑acne preparations	include	oral antibiotics
isotretinoin	is a	retinoid
isotretinoin	reduces	sebum production
isotretinoin	reduces	keratinization
isotretinoin	reduces	inflammation
isotretinoin	causes	teratogenicity
isotretinoin	requires	pregnancy testing
isotretinoin	requires	contraception
isotretinoin	causes	dry skin
isotretinoin	causes	cheilitis
isotretinoin	causes	hyperlipidemia
isotretinoin	causes	elevated liver enzymes
isotretinoin	improves	acne severity
isotretinoin	improves	quality of life
isotretinoin	improves	self‑esteem
oral antibiotics	include	doxycycline
oral antibiotics	include	minocycline
oral antibiotics	include	tetracycline
oral antibiotics	reduce	bacterial colonization
oral antibiotics	reduce	inflammation
oral antibiotics	cause	antibiotic resistance
oral antibiotics	cause	gastrointestinal upset
oral antibiotics	cause	photosensitivity
oral antibiotics	cause	vestibular toxicity
oral antibiotics	require	monitoring
oral antibiotics	require	dose adjustment
oral antibiotics	are	first‑line therapy
oral antibiotics	are	adjunctive therapy
oral antibiotics	are	contraindicated	in pregnancy
oral antibiotics	are	contraindicated	in lactation
oral antibiotics	are	contraindicated	in children under 8
oral antibiotics	are	contraindicated	in patients with liver disease
oral antibiotics	are	contraindicated	in patients with kidney disease
oral antibiotics	are	contraindicated	in patients with photosensitivity
oral antibiotics	are	contraindicated	in patients with vestibular disorders
oral antibiotics	are	contraindicated	in patients with bacterial infections requiring other antibiotics
oral antibiotics	are	contraindicated	in patients with bacterial resistance
oral antibiotics	are	contraindicated	in patients with antibiotic allergies
oral antibiotics	are	contraindicated	in patients with antibiotic interactions
oral antibiotics	are	contraindicated	in patients with antibiotic side‑effects
oral antibiotics	are	contraindicated	in patients with antibiotic toxicity
oral antibiotics	are	contraindicated	in patients with antibiotic intolerance
oral antibiotics	are	contraindicated	in patients with antibiotic hypersensitivity
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
oral antibiotics	are	contraindicated	in patients with antibiotic contraindications
