beta‑lactam antibacterials	are a	class of antibiotics
penicillins	belong to	beta‑lactam antibacterials
penicillins	contain	beta‑lactam ring
beta‑lactam ring	inhibits	bacterial cell wall synthesis
penicillins	target	Gram‑positive bacteria
penicillins	are effective against	Streptococcus pneumoniae
penicillins	are effective against	Staphylococcus aureus
penicillins	are less effective against	MRSA
penicillins	are used to treat	urinary tract infections
penicillins	are used to treat	skin infections
penicillins	are used to treat	dental infections
penicillins	are used to treat	syphilis
penicillins	are used to treat	meningitis
penicillins	are used to treat	endocarditis
penicillins	are contraindicated in	penicillin allergy
penicillins	can cause	anaphylaxis
penicillins	can cause	rash
penicillins	can cause	neutropenia
penicillins	can cause	hepatotoxicity
penicillins	can cause	Clostridioides difficile infection
penicillins	are metabolized by	liver
penicillins	excreted by	kidneys
penicillins	have half‑life	1–2 hours
penicillins	are available as	oral tablets
penicillins	are available as	intravenous solutions
penicillins	are available as	intramuscular injections
penicillins	are available as	topical creams
penicillins	are synthesized from	Penicillium fungi
penicillins	are produced by	fermentation
penicillins	are stored at	2–8°C
penicillins	are stable in	aqueous solutions
penicillins	are unstable in	acidic pH
penicillins	are unstable in	high temperatures
penicillins	are susceptible to	beta‑lactamase enzymes
beta‑lactamase enzymes	degrade	penicillins
beta‑lactamase inhibitors	protect	penicillins
penicillins	are combined with	clavulanic acid
penicillins	are combined with	sulbactam
penicillins	are combined with	tazobactam
penicillins	are combined with	avibactam
penicillins	are used in	combination therapy
penicillins	are used in	prophylaxis of amniotic infection
penicillins	are used in	prophylaxis of post‑operative infections
penicillins	are used in	prophylaxis of dental procedures
penicillins	are used in	prophylaxis of rheumatic fever
penicillins	are used in	treatment of Lyme disease
penicillins	are used in	treatment of anthrax
penicillins	are used in	treatment of plague
penicillins	are used in	treatment of tetanus
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
penicillins	are used in	treatment of cholera
