quinolone antibacterials	are	antibiotics
quinolone antibacterials	inhibit	bacterial DNA gyrase
quinolone antibacterials	inhibit	bacterial topoisomerase IV
quinolone antibacterials	treat	urinary tract infection
quinolone antibacterials	treat	respiratory tract infection
quinolone antibacterials	treat	gastrointestinal infection
quinolone antibacterials	treat	skin infection
quinolone antibacterials	treat	bone infection
quinolone antibacterials	treat	eye infection
quinolone antibacterials	treat	ear infection
quinolone antibacterials	treat	meningitis
quinolone antibacterials	treat	septicemia
quinolone antibacterials	used	prophylaxis
quinolone antibacterials	used	post‑operative
quinolone antibacterials	used	travel‑related
quinolone antibacterials	contraindicated	pregnancy
quinolone antibacterials	contraindicated	lactation
quinolone antibacterials	contraindicated	children
quinolone antibacterials	contraindicated	renal impairment
quinolone antibacterials	contraindicated	hepatic impairment
quinolone antibacterials	contraindicated	myasthenia gravis
quinolone antibacterials	contraindicated	tendon rupture
quinolone antibacterials	cause	tendonitis
quinolone antibacterials	cause	tendon rupture
quinolone antibacterials	cause	CNS toxicity
quinolone antibacterials	cause	phototoxicity
quinolone antibacterials	cause	QT prolongation
quinolone antibacterials	cause	hypoglycemia
quinolone antibacterials	cause	serotonin syndrome
quinolone antibacterials	cause	drug‑drug interaction
quinolone antibacterials	interact	fluoroquinolone
quinolone antibacterials	interact	NSAIDs
quinolone antibacterials	interact	antacids
quinolone antibacterials	interact	iron supplements
quinolone antibacterials	interact	calcium supplements
quinolone antibacterials	interact	warfarin
quinolone antibacterials	interact	digoxin
quinolone antibacterials	interact	benzodiazepines
quinolone antibacterials	interact	SSRIs
quinolone antibacterials	interact	MAOIs
quinolone antibacterials	interact	antihistamines
quinolone antibacterials	interact	antiepileptics
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antihypertensives
quinolone antibacterials	interact	statins
quinolone antibacterials	interact	antiretrovirals
quinolone antibacterials	interact	antituberculars
quinolone antibacterials	interact	antimalarials
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antidiabetics
quinolone antibacterials	interact	antithrombotics
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antiepileptics
quinolone antibacterials	interact	antihistamines
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antidiabetics
quinolone antibacterials	interact	antithrombotics
quinolone antibacterials	interact	antiepileptics
quinolone antibacterials	interact	antihistamines
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antidiabetics
quinolone antibacterials	interact	antithrombotics
quinolone antibacterials	interact	antiepileptics
quinolone antibacterials	interact	antihistamines
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antidiabetics
quinolone antibacterials	interact	antithrombotics
quinolone antibacterials	interact	antiepileptics
quinolone antibacterials	interact	antihistamines
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antidiabetics
quinolone antibacterials	interact	antithrombotics
quinolone antibacterials	interact	antiepileptics
quinolone antibacterials	interact	antihistamines
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antidiabetics
quinolone antibacterials	interact	antithrombotics
quinolone antibacterials	interact	antiepileptics
quinolone antibacterials	interact	antihistamines
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antidiabetics
quinolone antibacterials	interact	antithrombotics
quinolone antibacterials	interact	antiepileptics
quinolone antibacterials	interact	antihistamines
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antidiabetics
quinolone antibacterials	interact	antithrombotics
quinolone antibacterials	interact	antiepileptics
quinolone antibacterials	interact	antihistamines
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antidiabetics
quinolone antibacterials	interact	antithrombotics
quinolone antibacterials	interact	antiepileptics
quinolone antibacterials	interact	antihistamines
quinolone antibacterials	interact	antipsychotics
quinolone antibacterials	interact	antidiabetics
quinolone antibacterials	interact	antithrombotics
quinolone antibacterials	interact	antiepileptics
quinolone antibacterials	interact	antihistamines
quinolone antibacterials	interact	antipsychotics
