insulins	are	drugs
insulins	treat	diabetes
insulins	reduce	blood glucose
insulins	increase	insulin sensitivity
insulins	have	half‑life
insulins	include	human insulin
insulins	include	analogues
human insulin	is	endogenous
human insulin	is	recombinant
analogues	are	modified
analogues	have	altered kinetics
analogues	include	glargine
analogues	include	detemir
analogues	include	degludec
analogues	include	lispro
analogues	include	aspart
analogues	include	glulisine
glargine	is	long‑acting
detemir	is	long‑acting
degludec	is	ultra‑long‑acting
lispro	is	rapid‑acting
aspart	is	rapid‑acting
glulisine	is	rapid‑acting
rapid‑acting	act	within	minutes
long‑acting	act	over	24‑48 hours
ultra‑long‑acting	act	over	42 hours
insulins	are	administered	subcutaneously
insulins	are	administered	intravenously
insulins	are	administered	intramuscularly
insulins	are	administered	orally
insulins	are	administered	via	pump
insulins	are	administered	via	injection
insulins	are	administered	via	inhaler
insulins	are	administered	via	oral
insulins	are	administered	via	nasal
insulins	are	administered	via	rectal
insulins	are	administered	via	transdermal
insulins	are	administered	via	ocular
insulins	are	administered	via	intrathecal
insulins	are	administered	via	intraperitoneal
insulins	are	administered	via	intranasal
insulins	are	administered	via	intravitreal
insulins	are	administered	via	intramuscular
insulins	are	administered	via	subcutaneous
insulins	are	administered	via	intravenous
insulins	are	administered	via	oral
insulins	are	administered	via	inhalation
insulins	are	administered	via	injection
insulins	are	administered	via	pump
insulins	are	administered	via	device
insulins	are	administered	via	syringe
insulins	are	administered	via	pen
insulins	are	administered	via	vial
insulins	are	administered	via	cartridge
insulins	are	administered	via	reservoir
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
insulins	are	administered	via	infusion
