vitamin A	is a	nutrient
vitamin D	is a	nutrient
vitamin A	is essential	for vision
vitamin D	is essential	for bone
vitamin A	is obtained	from diet
vitamin D	is obtained	from sun
vitamin A	deficiency causes	night blindness
vitamin D	deficiency causes	rickets
vitamin A	deficiency causes	immune dysfunction
vitamin D	deficiency causes	osteomalacia
vitamin A	deficiency causes	anemia
vitamin D	deficiency causes	muscle weakness
vitamin A	excess causes	hypervitaminosis
vitamin D	excess causes	hypercalcemia
vitamin A	is stored	in liver
vitamin D	is stored	in adipose
vitamin A	metabolized	to retinoic acid
vitamin D	metabolized	to calcitriol
vitamin A	regulates	gene expression
vitamin D	regulates	calcium absorption
vitamin A	modulates	immune response
vitamin D	modulates	immune response
vitamin A	interacts	with vitamin E
vitamin D	interacts	with calcium
vitamin A	interacts	with zinc
vitamin D	interacts	with magnesium
vitamin A	interacts	with iron
vitamin D	interacts	with phosphorus
vitamin A	is a	fat‑soluble vitamin
vitamin D	is a	fat‑soluble vitamin
vitamin A	is a	antioxidant
vitamin D	is a	hormone precursor
vitamin A	is a	retinoid
vitamin D	is a	secosteroid
vitamin A	is a	precursor	to retinol
vitamin D	is a	precursor	to calcidiol
vitamin A	is a	therapeutic agent	for acne
vitamin D	is a	therapeutic agent	for osteoporosis
vitamin A	is a	therapeutic agent	for psoriasis
vitamin D	is a	therapeutic agent	for multiple sclerosis
vitamin A	is a	therapeutic agent	for cancer prevention
vitamin D	is a	therapeutic agent	for diabetes
vitamin A	is a	therapeutic agent	for preeclampsia
vitamin D	is a	therapeutic agent	for depression
vitamin A	is a	therapeutic agent	for cataract prevention
vitamin D	is a	therapeutic agent	for asthma
vitamin A	is a	therapeutic agent	for wound healing
vitamin D	is a	therapeutic agent	for heart disease
vitamin A	is a	therapeutic agent	for anemia
vitamin D	is a	therapeutic agent	for hypertension
vitamin A	is a	therapeutic agent	for immune disorders
vitamin D	is a	therapeutic agent	for autoimmune disease
vitamin A	is a	therapeutic agent	for bone health
vitamin D	is a	therapeutic agent	for bone health
vitamin A	is a	therapeutic agent	for eye health
vitamin D	is a	therapeutic agent	for eye health
vitamin A	is a	therapeutic agent	for skin health
vitamin D	is a	therapeutic agent	for skin health
vitamin A	is a	therapeutic agent	for pregnancy
vitamin D	is a	therapeutic agent	for pregnancy
vitamin A	is a	therapeutic agent	for neonatal health
vitamin D	is a	therapeutic agent	for neonatal health
vitamin A	is a	therapeutic agent	for respiratory health
vitamin D	is a	therapeutic agent	for respiratory health
vitamin A	is a	therapeutic agent	for cardiovascular health
vitamin D	is a	therapeutic agent	for cardiovascular health
vitamin A	is a	therapeutic agent	for metabolic health
vitamin D	is a	therapeutic agent	for metabolic health
vitamin A	is a	therapeutic agent	for neuroprotection
vitamin D	is a	therapeutic agent	for neuroprotection
vitamin A	is a	therapeutic agent	for reproductive health
vitamin D	is a	therapeutic agent	for reproductive health
vitamin A	is a	therapeutic agent	for cancer risk reduction
vitamin D	is a	therapeutic agent	for cancer risk reduction
vitamin A	is a	therapeutic agent	for cardiovascular risk reduction
vitamin D	is a	therapeutic agent	for cardiovascular risk reduction
vitamin A	is a	therapeutic agent	for bone density
vitamin D	is a	therapeutic agent	for bone density
vitamin A	is a	therapeutic agent	for immune modulation
vitamin D	is a	therapeutic agent	for immune modulation
vitamin A	is a	therapeutic agent	for anti‑inflammatory
vitamin D	is a	therapeutic agent	for anti‑inflammatory
vitamin A	is a	therapeutic agent	for anti‑oxidant
vitamin D	is a	therapeutic agent	for anti‑oxidant
vitamin A	is a	therapeutic agent	for anti‑cancer
vitamin D	is a	therapeutic agent	for anti‑cancer
vitamin A	is a	therapeutic agent	for anti‑viral
vitamin D	is a	therapeutic agent	for anti‑viral
vitamin A	is a	therapeutic agent	for anti‑bacterial
vitamin D	is a	therapeutic agent	for anti‑bacterial
vitamin A	is a	therapeutic agent	for anti‑fungal
vitamin D	is a	therapeutic agent	for anti‑fungal
vitamin A	is a	therapeutic agent	for anti‑parasite
vitamin D	is a	therapeutic agent	for anti‑parasite
vitamin A	is a	therapeutic agent	for anti‑allergy
vitamin D	is a	therapeutic agent	for anti‑allergy
vitamin A	is a	therapeutic agent	for anti‑obesity
vitamin D	is a	therapeutic agent	for anti‑obesity
vitamin A	is a	therapeutic agent	for anti‑diabetes
vitamin D	is a	therapeutic agent	for anti‑diabetes
