cardiac stimulants	are	drugs
cardiac stimulants	exclude	cardiac glycosides
cardiac stimulants	treat	bradycardia
cardiac stimulants	treat	heart failure
cardiac stimulants	increase	heart rate
cardiac stimulants	increase	myocardial contractility
cardiac stimulants	increase	cardiac output
cardiac stimulants	stimulate	β‑adrenergic receptors
cardiac stimulants	stimulate	α‑adrenergic receptors
cardiac stimulants	cause	tachycardia
cardiac stimulants	cause	arrhythmia
cardiac stimulants	cause	hypertension
cardiac stimulants	cause	palpitations
cardiac stimulants	contraindicated in	myocardial infarction
cardiac stimulants	contraindicated in	uncontrolled hypertension
cardiac stimulants	contraindicated in	severe aortic stenosis
cardiac stimulants	contraindicated in	ventricular tachycardia
cardiac stimulants	contraindicated in	atrial fibrillation
cardiac stimulants	contraindicated in	asthma
cardiac stimulants	contraindicated in	pheochromocytoma
cardiac stimulants	contraindicated in	hyperthyroidism
cardiac stimulants	contraindicated in	pregnancy
cardiac stimulants	contraindicated in	lactation
cardiac stimulants	contraindicated in	renal failure
cardiac stimulants	contraindicated in	hepatic failure
cardiac stimulants	contraindicated in	electrolyte imbalance
cardiac stimulants	contraindicated in	electrolyte deficiency
cardiac stimulants	contraindicated in	electrolyte excess
cardiac stimulants	contraindicated in	electrolyte disturbance
cardiac stimulants	contraindicated in	electrolyte disorder
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
cardiac stimulants	contraindicated in	electrolyte abnormality
