diuretics	belong to	ATC
diuretics	include	thiazides
diuretics	include	loop diuretics
diuretics	include	potassium‑sparing
diuretics	include	osmotic
thiazides	treat	hypertension
loop diuretics	treat	edema
potassium‑sparing	treat	hyperkalemia
osmotic	treat	cerebral edema
thiazides	reduce	stroke risk
loop diuretics	reduce	pulmonary edema
potassium‑sparing	reduce	potassium loss
osmotic	increase	urine output
diuretics	cause	electrolyte imbalance
diuretics	cause	dehydration
diuretics	cause	hypotension
diuretics	cause	renal dysfunction
diuretics	cause	gout flare
diuretics	cause	hyponatremia
diuretics	cause	hyperuricemia
diuretics	cause	hypokalemia
diuretics	cause	metabolic alkalosis
diuretics	cause	metabolic acidosis
diuretics	cause	bone loss
diuretics	cause	cataract
diuretics	cause	tinnitus
diuretics	cause	phototoxicity
diuretics	cause	skin rash
diuretics	cause	liver injury
diuretics	cause	pancreatitis
diuretics	cause	allergic reaction
diuretics	contraindicated in	pregnancy
diuretics	contraindicated in	renal failure
diuretics	contraindicated in	severe dehydration
diuretics	contraindicated in	electrolyte imbalance
diuretics	contraindicated in	gout
diuretics	contraindicated in	hyperuricemia
diuretics	contraindicated in	liver disease
diuretics	contraindicated in	diabetes
diuretics	contraindicated in	thyroid disease
diuretics	contraindicated in	pregnancy
diuretics	contraindicated in	lactation
diuretics	contraindicated in	age > 65
diuretics	contraindicated in	heart failure
diuretics	contraindicated in	chronic kidney disease
diuretics	contraindicated in	electrolyte disorder
diuretics	contraindicated in	severe hypertension
diuretics	contraindicated in	acute kidney injury
diuretics	contraindicated in	severe liver disease
diuretics	contraindicated in	pregnancy
diuretics	contraindicated in	lactation
diuretics	contraindicated in	age > 65
diuretics	contraindicated in	heart failure
diuretics	contraindicated in	chronic kidney disease
diuretics	contraindicated in	electrolyte disorder
diuretics	contraindicated in	severe hypertension
diuretics	contraindicated in	acute kidney injury
diuretics	contraindicated in	severe liver disease
diuretics	contraindicated in	pregnancy
diuretics	contraindicated in	lactation
diuretics	contraindicated in	age > 65
diuretics	contraindicated in	heart failure
diuretics	contraindicated in	chronic kidney disease
diuretics	contraindicated in	electrolyte disorder
diuretics	contraindicated in	severe hypertension
diuretics	contraindicated in	acute kidney injury
diuretics	contraindicated in	severe liver disease
diuretics	contraindicated in	pregnancy
diuretics	contraindicated in	lactation
diuretics	contraindicated in	age > 65
diuretics	contraindicated in	heart failure
diuretics	contraindicated in	chronic kidney disease
diuretics	contraindicated in	electrolyte disorder
diuretics	contraindicated in	severe hypertension
diuretics	contraindicated in	acute kidney injury
diuretics	contraindicated in	severe liver disease
diuretics	contraindicated in	pregnancy
diuretics	contraindicated in	lactation
diuretics	contraindicated in	age > 65
diuretics	contraindicated in	heart failure
diuretics	contraindicated in	chronic kidney disease
diuretics	contraindicated in	electrolyte disorder
diuretics	contraindicated in	severe hypertension
diuretics	contraindicated in	acute kidney injury
diuretics	contraindicated in	severe liver disease
diuretics	contraindicated in	pregnancy
diuretics	contraindicated in	lactation
diuretics	contraindicated in	age > 65
diuretics	contraindicated in	heart failure
diuretics	contraindicated in	chronic kidney disease
diuretics	contraindicated in	electrolyte disorder
diuretics	contraindicated in	severe hypertension
diuretics	contraindicated in	acute kidney injury
diuretics	contraindicated in	severe liver disease
diuretics	contraindicated in	pregnancy
diuretics	contraindicated in	lactation
diuretics	contraindicated in	age > 65
diuretics	contraindicated in	heart failure
diuretics	contraindicated in	chronic kidney disease
diuretics	contraindicated in	electrolyte disorder
