beta blocking agents	are	drugs
beta blocking agents	treat	hypertension
beta blocking agents	treat	angina
beta blocking agents	treat	arrhythmia
beta blocking agents	treat	heart failure
beta blocking agents	reduce	mortality
beta blocking agents	reduce	stroke risk
beta blocking agents	reduce	myocardial infarction risk
beta blocking agents	improve	ejection fraction
beta blocking agents	improve	exercise tolerance
beta blocking agents	improve	quality of life
beta blocking agents	cause	bradycardia
beta blocking agents	cause	hypotension
beta blocking agents	cause	fatigue
beta blocking agents	cause	dizziness
beta blocking agents	cause	depression
beta blocking agents	cause	insomnia
beta blocking agents	cause	sexual dysfunction
beta blocking agents	cause	asthma exacerbation
beta blocking agents	cause	COPD worsening
beta blocking agents	cause	peripheral edema
beta blocking agents	cause	cold extremities
beta blocking agents	cause	weight gain
beta blocking agents	cause	hyperlipidemia
beta blocking agents	cause	glucose intolerance
beta blocking agents	contraindicated in	severe asthma
beta blocking agents	contraindicated in	severe COPD
beta blocking agents	contraindicated in	advanced heart block
beta blocking agents	contraindicated in	severe bradycardia
beta blocking agents	contraindicated in	severe hypotension
beta blocking agents	contraindicated in	severe depression
beta blocking agents	contraindicated in	pregnancy
beta blocking agents	contraindicated in	lactation
beta blocking agents	contraindicated in	type 1 diabetes
beta blocking agents	contraindicated in	type 2 diabetes
beta blocking agents	contraindicated in	severe peripheral artery disease
beta blocking agents	contraindicated in	severe renal failure
beta blocking agents	contraindicated in	severe hepatic failure
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe hypoglycemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
beta blocking agents	contraindicated in	severe anemia
