angiotensin‑converting‑enzyme	is target of	ACE inhibitors
ACE inhibitors	reduce	blood pressure
ACE inhibitors	cause	cough
ACE inhibitors	prevent	heart failure
ACE inhibitors	increase	potassium
angiotensin‑II	binds to	AT1 receptor
AT1 receptor	mediates	vasoconstriction
angiotensin‑II	stimulates	aldosterone
aldosterone	promotes	sodium retention
aldosterone	promotes	potassium excretion
angiotensin‑II	stimulates	sympathetic tone
angiotensin‑II	increases	cardiac remodeling
angiotensin‑II	is degraded by	ACE2
ACE2	converts	angiotensin‑II to angiotensin‑(1‑7)
angiotensin‑(1‑7)	binds to	Mas receptor
Mas receptor	mediates	vasodilation
Mas receptor	reduces	inflammation
angiotensin‑(1‑7)	decreases	fibrosis
angiotensin‑(1‑7)	improves	endothelial function
angiotensin‑(1‑7)	lowers	blood pressure
angiotensin‑(1‑7)	counteracts	angiotensin‑II
angiotensin‑(1‑7)	is produced by	ACE2
angiotensin‑(1‑7)	is a	peptide hormone
angiotensin‑(1‑7)	is metabolized by	neprilysin
neprilysin	degrades	angiotensin‑(1‑7)
neprilysin	is inhibited by	sacubitril
sacubitril	is part of	ARNI therapy
ARNI therapy	combines	ARB and neprilysin inhibitor
ARB	blocks	AT1 receptor
ARB	reduces	afterload
ARB	reduces	preload
ARB	prevents	cardiac remodeling
ARB	is used for	heart failure
ARB	is used for	chronic kidney disease
ARB	is used for	hypertension
ARB	has side effect	orthostatic hypotension
ARB	has side effect	hyperkalemia
ARB	has side effect	cough
ARB	is contraindicated with	ACE inhibitors
ARB	is contraindicated with	ARNI therapy
angiotensin receptor blocker	is brand name	losartan
angiotensin receptor blocker	is brand name	valsartan
angiotensin receptor blocker	is brand name	irbesartan
angiotensin receptor blocker	is brand name	candesartan
angiotensin receptor blocker	is brand name	telmisartan
angiotensin receptor blocker	is brand name	olmesartan
angiotensin receptor blocker	is brand name	eprosartan
angiotensin receptor blocker	is brand name	azilsartan
angiotensin receptor blocker	is brand name	losartan potassium
angiotensin receptor blocker	is brand name	valsartan potassium
angiotensin receptor blocker	is brand name	irbesartan potassium
angiotensin receptor blocker	is brand name	candesartan cilexetil
angiotensin receptor blocker	is brand name	telmisartan sodium
angiotensin receptor blocker	is brand name	olmesartan medoxomil
angiotensin receptor blocker	is brand name	eprosartan mesylate
angiotensin receptor blocker	is brand name	azilsartan medoxomil
angiotensin receptor blocker	is brand name	losartan potassium
angiotensin receptor blocker	is brand name	valsartan potassium
angiotensin receptor blocker	is brand name	irbesartan potassium
angiotensin receptor blocker	is brand name	candesartan cilexetil
angiotensin receptor blocker	is brand name	telmisartan sodium
angiotensin receptor blocker	is brand name	olmesartan medoxomil
angiotensin receptor blocker	is brand name	eprosartan mesylate
angiotensin receptor blocker	is brand name	azilsartan medoxomil
angiotensin receptor blocker	is brand name	losartan potassium
angiotensin receptor blocker	is brand name	valsartan potassium
angiotensin receptor blocker	is brand name	irbesartan potassium
angiotensin receptor blocker	is brand name	candesartan cilexetil
angiotensin receptor blocker	is brand name	telmisartan sodium
angiotensin receptor blocker	is brand name	olmesartan medoxomil
angiotensin receptor blocker	is brand name	eprosartan mesylate
angiotensin receptor blocker	is brand name	azilsartan medoxomil
angiotensin receptor blocker	is brand name	losartan potassium
angiotensin receptor blocker	is brand name	valsartan potassium
angiotensin receptor blocker	is brand name	irbesartan potassium
angiotensin receptor blocker	is brand name	candesartan cilexetil
angiotensin receptor blocker	is brand name	telmisartan sodium
angiotensin receptor blocker	is brand name	olmesartan medoxomil
angiotensin receptor blocker	is brand name	eprosartan mesylate
angiotensin receptor blocker	is brand name	azilsartan medoxomil
angiotensin receptor blocker	is brand name	losartan potassium
angiotensin receptor blocker	is brand name	valsartan potassium
angiotensin receptor blocker	is brand name	irbesartan potassium
angiotensin receptor blocker	is brand name	candesartan cilexetil
angiotensin receptor blocker	is brand name	telmisartan sodium
angiotensin receptor blocker	is brand name	olmesartan medoxomil
angiotensin receptor blocker	is brand name	eprosartan mesylate
angiotensin receptor blocker	is brand name	azilsartan medoxomil
angiotensin receptor blocker	is brand name	losartan potassium
angiotensin receptor blocker	is brand name	valsartan potassium
angiotensin receptor blocker	is brand name	irbesartan potassium
angiotensin receptor blocker	is brand name	candesartan cilexetil
angiotensin receptor blocker	is brand name	telmisartan sodium
angiotensin receptor blocker	is brand name	olmesartan medoxomil
angiotensin receptor blocker	is brand name	eprosartan mesylate
angiotensin receptor blocker	is brand name	azilsartan medoxomil
angiotensin receptor blocker	is brand name	losartan potassium
angiotensin receptor blocker	is brand name	valsartan potassium
angiotensin receptor blocker	is brand name	irbesartan potassium
angiotensin receptor blocker	is brand name	candesartan cilexetil
