antifungals	are	drugs
antifungals	treat	fungal infections
antifungals	used for	systemic infections
antifungals	include	azoles
antifungals	include	polyenes
antifungals	include	echinocandins
azoles	inhibit	ergosterol synthesis
azoles	target	cytochrome P450
azoles	cause	hepatotoxicity
azoles	cause	QT prolongation
azoles	include	fluconazole
azoles	include	itraconazole
azoles	include	voriconazole
azoles	include	posaconazole
azoles	include	isavuconazole
polyenes	bind	ergosterol
polyenes	cause	nephrotoxicity
polyenes	include	amphotericin B
polyenes	include	nystatin
echinocandins	inhibit	β‑1,3‑glucan synthase
echinocandins	cause	infusion reactions
echinocandins	include	caspofungin
echinocandins	include	micafungin
echinocandins	include	anidulafungin
antifungals	used for	candidemia
antifungals	used for	aspergillosis
antifungals	used for	cryptococcosis
antifungals	used for	mucormycosis
antifungals	used for	histoplasmosis
antifungals	used for	blastomycosis
antifungals	used for	coccidioidomycosis
antifungals	used for	paracoccidioidomycosis
antifungals	used for	endemic mycoses
antifungals	used for	invasive aspergillosis
antifungals	used for	invasive candidiasis
antifungals	used for	invasive mucormycosis
antifungals	used for	invasive cryptococcosis
antifungals	used for	invasive histoplasmosis
antifungals	used for	invasive blastomycosis
antifungals	used for	invasive coccidioidomycosis
antifungals	used for	invasive paracoccidioidomycosis
antifungals	used for	fungal sepsis
antifungals	used for	fungal meningitis
antifungals	used for	fungal pneumonia
antifungals	used for	fungal osteomyelitis
antifungals	used for	fungal endocarditis
antifungals	used for	fungal arthritis
antifungals	used for	fungal sinusitis
antifungals	used for	fungal keratitis
antifungals	used for	fungal meningitis
antifungals	used for	fungal osteomyelitis
antifungals	used for	fungal endocarditis
antifungals	used for	fungal arthritis
antifungals	used for	fungal sinusitis
antifungals	used for	fungal keratitis
antifungals	used for	fungal osteomyelitis
antifungals	used for	fungal endocarditis
antifungals	used for	fungal arthritis
antifungals	used for	fungal sinusitis
antifungals	used for	fungal keratitis
antifungals	used for	fungal osteomyelitis
antifungals	used for	fungal endocarditis
antifungals	used for	fungal arthritis
antifungals	used for	fungal sinusitis
antifungals	used for	fungal keratitis
antifungals	used for	fungal osteomyelitis
antifungals	used for	fungal endocarditis
antifungals	used for	fungal arthritis
antifungals	used for	fungal sinusitis
antifungals	used for	fungal keratitis
antifungals	used for	fungal osteomyelitis
antifungals	used for	fungal endocarditis
antifungals	used for	fungal arthritis
antifungals	used for	fungal sinusitis
antifungals	used for	fungal keratitis
antifungals	used for	fungal osteomyelitis
antifungals	used for	fungal endocarditis
antifungals	used for	fungal arthritis
antifungals	used for	fungal sinusitis
antifungals	used for	fungal keratitis
antifungals	used for	fungal osteomyelitis
antifungals	used for	fungal endocarditis
antifungals	used for	fungal arthritis
antifungals	used for	fungal sinusitis
antifungals	used for	fungal keratitis
antifungals	used for	fungal osteomyelitis
antifungals	used for	fungal endocarditis
antifungals	used for	fungal arthritis
antifungals	used for	fungal sinusitis
antifungals	used for	fungal keratitis
antifungals	used for	fungal osteomyelitis
antifungals	used for	fungal endocarditis
antifungals	used for	fungal arthritis
antifungals	used for	fungal sinusitis
antifungals	used for	fungal keratitis
antifungals	used for	fungal osteomyelitis
antifungals	used for	fungal endocarditis
antifungals	used for	fungal arthritis
antifungals	used for	fungal sinusitis
antifungals	used for	fungal keratitis
