chemotherapeutics	are a	drug
chemotherapeutics	used for	skin cancer
chemotherapeutics	used for	actinic keratosis
chemotherapeutics	used for	Bowen’s disease
chemotherapeutics	used for	basal cell carcinoma
chemotherapeutics	used for	squamous cell carcinoma
chemotherapeutics	applied topically	skin
chemotherapeutics	delivered via	cream
chemotherapeutics	delivered via	ointment
chemotherapeutics	delivered via	gel
chemotherapeutics	delivered via	solution
chemotherapeutics	delivered via	patch
chemotherapeutics	formulated with	vehicle
vehicle	may contain	propylene glycol
vehicle	may contain	ethanol
vehicle	may contain	surfactant
vehicle	may contain	preservative
vehicle	may contain	fragrance
vehicle	can cause	skin irritation
vehicle	can cause	allergic reaction
vehicle	can cause	dermatitis
vehicle	can cause	contact dermatitis
vehicle	can cause	photosensitivity
vehicle	can cause	dryness
vehicle	can cause	scaling
vehicle	can cause	erythema
vehicle	can cause	edema
vehicle	can cause	blistering
vehicle	can cause	ulceration
vehicle	can cause	hyperpigmentation
vehicle	can cause	hypopigmentation
vehicle	can cause	pigmentary changes
vehicle	can cause	pigmentary loss
vehicle	can cause	pigmentary gain
vehicle	can cause	pigmentary shift
vehicle	can cause	pigmentary alteration
vehicle	can cause	pigmentary variation
vehicle	can cause	pigmentary fluctuation
vehicle	can cause	pigmentary instability
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
vehicle	can cause	pigmentary irregularity
