corticosteroids	used for	inflammation
corticosteroids	reduce	edema
corticosteroids	suppress	immune response
corticosteroids	treat	asthma
corticosteroids	treat	COPD
corticosteroids	treat	rheumatoid arthritis
corticosteroids	treat	lupus
corticosteroids	treat	allergic rhinitis
corticosteroids	treat	eczema
corticosteroids	treat	psoriasis
corticosteroids	treat	organ transplant rejection
corticosteroids	treat	sepsis
corticosteroids	treat	COVID‑19 severe
corticosteroids	treat	acute respiratory distress syndrome
corticosteroids	treat	stroke
corticosteroids	treat	acute kidney injury
corticosteroids	treat	acute liver failure
corticosteroids	treat	acute pancreatitis
corticosteroids	treat	acute myocardial infarction
corticosteroids	treat	acute pericarditis
corticosteroids	treat	acute gout flare
corticosteroids	treat	acute colitis
corticosteroids	treat	acute diverticulitis
corticosteroids	treat	acute cholecystitis
corticosteroids	treat	acute appendicitis
corticosteroids	treat	acute pancreatitis
corticosteroids	treat	acute hemorrhagic stroke
corticosteroids	treat	acute spinal cord injury
corticosteroids	treat	acute traumatic brain injury
corticosteroids	treat	acute allergic reaction
corticosteroids	treat	acute anaphylaxis
corticosteroids	treat	acute hemolytic anemia
corticosteroids	treat	acute hemophagocytic syndrome
corticosteroids	treat	acute lymphoblastic leukemia
corticosteroids	treat	acute myeloid leukemia
corticosteroids	treat	acute promyelocytic leukemia
corticosteroids	treat	acute lymphocytic leukemia
corticosteroids	treat	acute myelogenous leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
corticosteroids	treat	acute myelomonocytic leukemia
