hormonal contraceptives	are	medication
hormonal contraceptives	contain	estrogen
hormonal contraceptives	contain	progestin
estrogen	reduces	ovulation
progestin	thickens	cervical mucus
hormonal contraceptives	prevent	pregnancy
hormonal contraceptives	administered	orally
hormonal contraceptives	administered	transdermally
hormonal contraceptives	administered	vaginally
hormonal contraceptives	administered	intramuscularly
hormonal contraceptives	have	side effects
side effects	include	nausea
side effects	include	breast tenderness
side effects	include	mood changes
side effects	include	weight gain
side effects	include	headaches
side effects	include	spotting
side effects	include	increased clot risk
hormonal contraceptives	increase	clotting risk
clotting risk	leads to	deep vein thrombosis
clotting risk	leads to	pulmonary embolism
hormonal contraceptives	reduce	menstrual cramps
hormonal contraceptives	reduce	acne
hormonal contraceptives	reduce	endometriosis pain
hormonal contraceptives	reduce	ovarian cysts
hormonal contraceptives	reduce	dysmenorrhea
hormonal contraceptives	improve	bone density
hormonal contraceptives	improve	hair growth
hormonal contraceptives	improve	skin tone
hormonal contraceptives	improve	libido
hormonal contraceptives	contraindicated	smoking
hormonal contraceptives	contraindicated	age > 35
hormonal contraceptives	contraindicated	hypertension
hormonal contraceptives	contraindicated	liver disease
hormonal contraceptives	contraindicated	migraine with aura
hormonal contraceptives	contraindicated	breast cancer
hormonal contraceptives	contraindicated	clotting disorder
hormonal contraceptives	contraindicated	pregnancy
hormonal contraceptives	contraindicated	lactation
hormonal contraceptives	contraindicated	liver metastasis
hormonal contraceptives	contraindicated	severe renal disease
hormonal contraceptives	contraindicated	severe hepatic disease
hormonal contraceptives	contraindicated	uncontrolled hypertension
hormonal contraceptives	contraindicated	active hepatitis
hormonal contraceptives	contraindicated	thrombophilia
hormonal contraceptives	contraindicated	pregnancy test positive
hormonal contraceptives	contraindicated	breastfeeding
hormonal contraceptives	contraindicated	liver tumor
hormonal contraceptives	contraindicated	severe anemia
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
hormonal contraceptives	contraindicated	severe infection
