progestogen	is a	hormone
progestogen	regulates	menstrual cycle
progestogen	promotes	endometrial thickening
progestogen	inhibits	ovulation
progestogen	used in	contraception
progestogen	used in	hormone therapy
progestogen	reduces	endometrial cancer risk
progestogen	increases	cervical mucus viscosity
progestogen	stabilizes	uterine lining
progestogen	prevents	implantation
progestogen	modulates	estrogen activity
progestogen	binds	progesterone receptor
progestogen	activates	PR-A
progestogen	activates	PR-B
progestogen	antagonizes	androgen receptor
progestogen	antagonizes	estrogen receptor
progestogen	reduces	breast cancer risk
progestogen	increases	bone density
progestogen	decreases	osteoporosis risk
progestogen	used in	menopausal syndrome
progestogen	used in	endometriosis
progestogen	used in	uterine fibroids
progestogen	used in	dysmenorrhea
progestogen	used in	premenstrual syndrome
progestogen	used in	menstrual regulation
progestogen	used in	luteal phase support
progestogen	used in	assisted reproduction
progestogen	used in	fertility preservation
progestogen	used in	gestational trophoblastic disease
progestogen	used in	ectopic pregnancy
progestogen	used in	postpartum hemorrhage
progestogen	used in	breast feeding support
progestogen	used in	lactation suppression
progestogen	used in	acne treatment
progestogen	used in	hirsutism
progestogen	used in	androgenic alopecia
progestogen	used in	polycystic ovary syndrome
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	alopecia
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
progestogen	used in	hair loss
progestogen	used in	hirsutism
progestogen	used in	acne
