sex hormones	classified by	ATC
ATC	contains	modulators
modulators	include	estrogen
modulators	include	progesterone
modulators	include	testosterone
modulators	include	gonadotropin
modulators	include	aromatase inhibitor
modulators	include	selective estrogen receptor modulator
modulators	include	androgen receptor antagonist
estrogen	used for	menopausal therapy
estrogen	reduces	hot flashes
estrogen	increases	bone density
estrogen	causes	thromboembolism
progesterone	used for	contraception
progesterone	prevents	luteal phase defect
progesterone	reduces	endometrial hyperplasia
progesterone	causes	breast tenderness
testosterone	used for	hypogonadism
testosterone	improves	libido
testosterone	increases	muscle mass
testosterone	causes	acne
gonadotropin	stimulates	ovulation
gonadotropin	used in	IVF
gonadotropin	increases	follicle count
gonadotropin	causes	ovarian hyperstimulation
aromatase inhibitor	blocks	estrogen synthesis
aromatase inhibitor	used in	breast cancer
aromatase inhibitor	reduces	estrogen‑dependent tumor growth
aromatase inhibitor	causes	joint pain
selective estrogen receptor modulator	binds	ERα
selective estrogen receptor modulator	binds	ERβ
selective estrogen receptor modulator	used in	osteoporosis
selective estrogen receptor modulator	reduces	fracture risk
selective estrogen receptor modulator	causes	hot flashes
androgen receptor antagonist	blocks	AR
androgen receptor antagonist	used in	prostate cancer
androgen receptor antagonist	reduces	PSA levels
androgen receptor antagonist	causes	gynecomastia
estrogen	increases	breast cancer risk
estrogen	decreases	cardiovascular risk
progesterone	increases	breast cancer risk
progesterone	decreases	ovarian cancer risk
testosterone	increases	cardiovascular risk
testosterone	decreases	depression
gonadotropin	increases	ovarian cysts
gonadotropin	decreases	pregnancy failure
aromatase inhibitor	increases	bone loss
aromatase inhibitor	decreases	estrogen levels
selective estrogen receptor modulator	increases	endometrial thickness
selective estrogen receptor modulator	decreases	breast density
androgen receptor antagonist	increases	bone density
androgen receptor antagonist	decreases	PSA recurrence
estrogen	used in	hormone replacement therapy
estrogen	contraindicated in	clotting disorders
progesterone	contraindicated in	liver disease
testosterone	contraindicated in	prostate cancer
gonadotropin	contraindicated in	ovarian hyperstimulation syndrome
aromatase inhibitor	contraindicated in	pregnancy
selective estrogen receptor modulator	contraindicated in	estrogen‑dependent tumors
androgen receptor antagonist	contraindicated in	severe liver impairment
estrogen	metabolized by	CYP3A4
progesterone	metabolized by	CYP3A4
testosterone	metabolized by	CYP3A4
gonadotropin	not metabolized by	CYP enzymes
aromatase inhibitor	inhibits	CYP19A1
selective estrogen receptor modulator	metabolized by	CYP2D6
androgen receptor antagonist	metabolized by	CYP3A4
estrogen	increases	clotting factors
progesterone	decreases	clotting factors
testosterone	increases	hemoglobin
gonadotropin	increases	LH levels
aromatase inhibitor	reduces	estrogen‑dependent bone resorption
selective estrogen receptor modulator	reduces	breast cancer risk
androgen receptor antagonist	reduces	androgen‑dependent tumor growth
estrogen	associated with	endometrial cancer
progesterone	protects against	endometrial cancer
testosterone	associated with	polycythemia
gonadotropin	associated with	ovarian cysts
aromatase inhibitor	associated with	arthralgia
selective estrogen receptor modulator	associated with	hot flashes
androgen receptor antagonist	associated with	gynecomastia
estrogen	used in	breast augmentation
progesterone	used in	luteal support
testosterone	used in	anabolic steroid therapy
gonadotropin	used in	ovulation induction
aromatase inhibitor	used in	aromatase‑dependent tumors
selective estrogen receptor modulator	used in	breast cancer prevention
androgen receptor antagonist	used in	androgen‑dependent disorders
estrogen	reduces	menopausal depression
progesterone	reduces	anxiety
testosterone	reduces	fatigue
gonadotropin	reduces	infertility
aromatase inhibitor	reduces	estrogen‑mediated symptoms
selective estrogen receptor modulator	reduces	osteoporosis
androgen receptor antagonist	reduces	androgen‑mediated symptoms
estrogen	increases	lipid levels
progesterone	decreases	lipid levels
testosterone	increases	LDL
gonadotropin	increases	FSH
aromatase inhibitor	decreases	estrogen‑dependent proliferation
