tamsulosin	is a	α‑blocker
tamsulosin	treats	benign prostatic hypertrophy
tamsulosin	improves	urinary flow
tamsulosin	reduces	post‑void residual
tamsulosin	causes	dizziness
tamsulosin	contraindicated in	hypotension
tamsulosin	interacts with	grapefruit
tamsulosin	metabolized by	CYP3A4
tamsulosin	dosage	0.4 mg daily
tamsulosin	approved by	FDA
tamsulosin	marketed as	Flomax
tamsulosin	has	12‑hour half‑life
tamsulosin	used with	finasteride
tamsulosin	reduces	prostate size
tamsulosin	improves	quality of life
tamsulosin	side‑effect	orthostatic hypotension
tamsulosin	side‑effect	retrograde ejaculation
tamsulosin	side‑effect	headache
tamsulosin	side‑effect	nasal congestion
tamsulosin	side‑effect	fatigue
tamsulosin	contraindicated in	pregnancy
tamsulosin	contraindicated in	lactation
tamsulosin	contraindicated in	severe hepatic impairment
tamsulosin	contraindicated in	severe renal impairment
tamsulosin	contraindicated in	severe cardiac disease
tamsulosin	contraindicated in	severe anemia
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe allergy
tamsulosin	contraindicated in	severe bleeding
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
tamsulosin	contraindicated in	severe infection
