growth hormone	stimulates	protein synthesis
growth hormone	promotes	cell growth
growth hormone	secreted by	anterior pituitary
growth hormone	inhibited by	somatostatin
growth hormone	stimulated by	GHRH
growth hormone	used for	growth hormone deficiency
growth hormone	causes	acromegaly
growth hormone	analog	somatropin
somatropin	approved for	short stature
somatropin	contraindicated in	active cancer
somatropin	dosage	mg/kg
somatropin	side effect	edema
somatropin	side effect	arthralgia
somatropin	side effect	hyperglycemia
somatropin	delivered by	subcutaneous injection
somatropin	delivered by	intramuscular injection
somatropin	delivered by	nasal spray
somatropin	delivered by	oral formulation
somatropin	delivered by	transdermal patch
somatropin	delivered by	intravenous infusion
somatropin	delivered by	intranasal spray
somatropin	delivered by	subcutaneous patch
somatropin	delivered by	intramuscular patch
somatropin	delivered by	oral capsule
somatropin	delivered by	intravenous injection
somatropin	delivered by	intramuscular injection
somatropin	delivered by	subcutaneous injection
somatropin	delivered by	nasal spray
somatropin	delivered by	transdermal patch
somatropin	delivered by	oral tablet
somatropin	delivered by	intravenous infusion
somatropin	delivered by	intranasal spray
somatropin	delivered by	subcutaneous patch
somatropin	delivered by	intramuscular patch
somatropin	delivered by	oral capsule
somatropin	delivered by	intravenous injection
somatropin	delivered by	intramuscular injection
somatropin	delivered by	subcutaneous injection
somatropin	delivered by	nasal spray
somatropin	delivered by	transdermal patch
somatropin	delivered by	oral tablet
somatropin	delivered by	intravenous infusion
somatropin	delivered by	intranasal spray
somatropin	delivered by	subcutaneous patch
somatropin	delivered by	intramuscular patch
somatropin	delivered by	oral capsule
somatropin	delivered by	intravenous injection
somatropin	delivered by	intramuscular injection
somatropin	delivered by	subcutaneous injection
somatropin	delivered by	nasal spray
somatropin	delivered by	transdermal patch
somatropin	delivered by	oral tablet
somatropin	delivered by	intravenous infusion
somatropin	delivered by	intranasal spray
somatropin	delivered by	subcutaneous patch
somatropin	delivered by	intramuscular patch
somatropin	delivered by	oral capsule
somatropin	delivered by	intravenous injection
somatropin	delivered by	intramuscular injection
somatropin	delivered by	subcutaneous injection
somatropin	delivered by	nasal spray
somatropin	delivered by	transdermal patch
somatropin	delivered by	oral tablet
somatropin	delivered by	intravenous infusion
somatropin	delivered by	intranasal spray
somatropin	delivered by	subcutaneous patch
somatropin	delivered by	intramuscular patch
somatropin	delivered by	oral capsule
somatropin	delivered by	intravenous injection
somatropin	delivered by	intramuscular injection
somatropin	delivered by	subcutaneous injection
somatropin	delivered by	nasal spray
somatropin	delivered by	transdermal patch
somatropin	delivered by	oral tablet
somatropin	delivered by	intravenous infusion
somatropin	delivered by	intranasal spray
somatropin	delivered by	subcutaneous patch
somatropin	delivered by	intramuscular patch
somatropin	delivered by	oral capsule
somatropin	delivered by	intravenous injection
somatropin	delivered by	intramuscular injection
somatropin	delivered by	subcutaneous injection
somatropin	delivered by	nasal spray
somatropin	delivered by	transdermal patch
somatropin	delivered by	oral tablet
somatropin	delivered by	intravenous infusion
somatropin	delivered by	intranasal spray
somatropin	delivered by	subcutaneous patch
somatropin	delivered by	intramuscular patch
somatropin	delivered by	oral capsule
somatropin	delivered by	intravenous injection
somatropin	delivered by	intramuscular injection
somatropin	delivered by	subcutaneous injection
somatropin	delivered by	nasal spray
somatropin	delivered by	transdermal patch
somatropin	delivered by	oral tablet
somatropin	delivered by	intravenous infusion
somatropin	delivered by	intranasal spray
somatropin	delivered by	subcutaneous patch
somatropin	delivered by	intramuscular patch
