beta‑lactam antibacterials	belong to	antibiotic class
beta‑lactam antibacterials	include	penicillins
penicillins	are	β‑lactam antibiotics
penicillins	treat	bacterial infections
penicillins	treat	streptococcal pharyngitis
penicillins	treat	staphylococcal infections
penicillins	treat	pneumococcal pneumonia
penicillins	treat	urinary tract infections
penicillins	treat	syphilis
penicillins	treat	meningitis
penicillins	treat	endocarditis
penicillins	treat	osteomyelitis
penicillins	treat	septicemia
penicillins	treat	skin infections
penicillins	treat	dental abscess
penicillins	treat	Lyme disease
penicillins	treat	gonorrhea
penicillins	treat	chlamydia
penicillins	treat	tuberculosis (first line)
penicillins	treat	syphilis (early stage)
penicillins	treat	syphilis (late stage)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
penicillins	treat	plague (pneumonic)
penicillins	treat	anthrax (post‑exposure)
penicillins	treat	anthrax (treatment)
penicillins	treat	plague (bubonic)
penicillins	treat	plague (septicemic)
