beta‑lactam	is a	antibiotic
beta‑lactam	contains	β‑lactam ring
beta‑lactam	inhibits	bacterial cell wall synthesis
beta‑lactam	targets	penicillin‑binding proteins
beta‑lactam	classified by	ATC
ATC	classifies	drug families
beta‑lactam	includes	cephalosporins
beta‑lactam	includes	carbapenems
beta‑lactam	includes	monobactams
beta‑lactam	includes	penicillins
cephalosporin	is a	beta‑lactam
cephalosporin	has	broader spectrum
cephalosporin	is effective against	gram‑negative bacteria
cephalosporin	is effective against	gram‑positive bacteria
cephalosporin	is used for	urinary tract infections
cephalosporin	is used for	respiratory tract infections
cephalosporin	is used for	skin infections
cephalosporin	is used for	meningitis
cephalosporin	is used for	bone infections
carbapenem	is a	beta‑lactam
carbapenem	has	highest potency
carbapenem	is effective against	multi‑drug resistant organisms
carbapenem	is used for	complicated intra‑abdominal infections
carbapenem	is used for	hospital‑acquired pneumonia
carbapenem	is used for	septicemia
carbapenem	is used for	meningitis
monobactam	is a	beta‑lactam
monobactam	is selective for	gram‑negative bacteria
monobactam	is used for	urinary tract infections
monobactam	is used for	eye infections
penicillin	is a	beta‑lactam
penicillin	is effective against	streptococci
penicillin	is effective against	staphylococci
penicillin	is used for	syphilis
penicillin	is used for	rheumatic fever
penicillin	is used for	dental infections
penicillin	is used for	otitis media
beta‑lactam	is susceptible to	β‑lactamase
β‑lactamase	degrades	beta‑lactam
β‑lactamase	is produced by	gram‑negative bacteria
β‑lactamase	is produced by	gram‑positive bacteria
β‑lactamase	is inhibited by	β‑lactamase inhibitors
β‑lactamase inhibitor	is combined with	penicillin
β‑lactamase inhibitor	is combined with	cephalosporin
β‑lactamase inhibitor	is combined with	carbapenem
beta‑lactam	has	side effect	allergic reaction
beta‑lactam	has	side effect	rash
beta‑lactam	has	side effect	anaphylaxis
beta‑lactam	has	side effect	neutropenia
beta‑lactam	has	side effect	gastrointestinal upset
beta‑lactam	has	side effect	hepatotoxicity
beta‑lactam	has	side effect	nephrotoxicity
beta‑lactam	has	side effect	ototoxicity
beta‑lactam	has	side effect	thrombocytopenia
beta‑lactam	has	side effect	Clostridioides difficile colitis
beta‑lactam	can cause	drug‑drug interactions
beta‑lactam	can cause	drug‑drug interactions	with warfarin
beta‑lactam	can cause	drug‑drug interactions	with methotrexate
beta‑lactam	can cause	drug‑drug interactions	with oral contraceptives
beta‑lactam	can cause	drug‑drug interactions	with antacids
beta‑lactam	can cause	drug‑drug interactions	with fluoroquinolones
beta‑lactam	can cause	drug‑drug interactions	with aminoglycosides
beta‑lactam	can cause	drug‑drug interactions	with NSAIDs
beta‑lactam	can cause	drug‑drug interactions	with corticosteroids
beta‑lactam	can cause	drug‑drug interactions	with immunosuppressants
beta‑lactam	can cause	drug‑drug interactions	with antiepileptics
beta‑lactam	can cause	drug‑drug interactions	with antiretrovirals
beta‑lactam	can cause	drug‑drug interactions	with antidiabetics
beta‑lactam	can cause	drug‑drug interactions	with anticoagulants
beta‑lactam	can cause	drug‑drug interactions	with antipsychotics
beta‑lactam	can cause	drug‑drug interactions	with antihypertensives
beta‑lactam	can cause	drug‑drug interactions	with statins
beta‑lactam	can cause	drug‑drug interactions	with antimalarials
beta‑lactam	can cause	drug‑drug interactions	with antituberculars
beta‑lactam	can cause	drug‑drug interactions	with antineoplastics
beta‑lactam	can cause	drug‑drug interactions	with antithrombotics
beta‑lactam	can cause	drug‑drug interactions	with antipsychotics
beta‑lactam	can cause	drug‑drug interactions	with antidiabetics
beta‑lactam	can cause	drug‑drug interactions	with antiepileptics
beta‑lactam	can cause	drug‑drug interactions	with antiretrovirals
beta‑lactam	can cause	drug‑drug interactions	with antimalarials
beta‑lactam	can cause	drug‑drug interactions	with antituberculars
beta‑lactam	can cause	drug‑drug interactions	with antineoplastics
beta‑lactam	can cause	drug‑drug interactions	with antithrombotics
beta‑lactam	can cause	drug‑drug interactions	with antipsychotics
beta‑lactam	can cause	drug‑drug interactions	with antidiabetics
beta‑lactam	can cause	drug‑drug interactions	with antiepileptics
beta‑lactam	can cause	drug‑drug interactions	with antiretrovirals
beta‑lactam	can cause	drug‑drug interactions	with antimalarials
beta‑lactam	can cause	drug‑drug interactions	with antituberculars
beta‑lactam	can cause	drug‑drug interactions	with antineoplastics
beta‑lactam	can cause	drug‑drug interactions	with antithrombotics
beta‑lactam	can cause	drug‑drug interactions	with antipsychotics
beta‑lactam	can cause	drug‑drug interactions	with antidiabetics
beta‑lactam	can cause	drug‑drug interactions	with antiepileptics
beta‑lactam	can cause	drug‑drug interactions	with antiretrovirals
beta‑lactam	can cause	drug‑drug interactions	with antimalarials
beta‑lactam	can cause	drug‑drug interactions	with antituberculars
beta‑lactam	can cause	drug‑drug interactions	with antineoplastics
beta‑lactam	can cause	drug‑drug interactions	with antithrombotics
