vaccines	classified by	ATC
ATC	uses	drug classification
vaccines	prevent	infectious disease
infectious disease	caused by	pathogen
pathogen	type	virus
pathogen	type	bacterium
vaccines	target	virus
vaccines	target	bacterium
vaccines	administered	intramuscular
vaccines	administered	subcutaneous
vaccines	administered	oral
vaccines	schedule	primary series
vaccines	schedule	booster
vaccines	schedule	catch‑up
vaccines	efficacy	>90%
vaccines	efficacy	70‑90%
vaccines	efficacy	<70%
vaccines	side effect	injection site pain
vaccines	side effect	fever
vaccines	side effect	allergic reaction
vaccines	contraindication	pregnancy
vaccines	contraindication	immunodeficiency
vaccines	contraindication	severe allergy
vaccines	contraindication	recent live vaccine
vaccines	contraindication	recent live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
vaccines	contraindication	live vaccine	live vaccine
