non‑steroidal	is a	drug class
non‑steroidal	treats	inflammation
non‑steroidal	treats	pain
non‑steroidal	reduces	prostaglandin
non‑steroidal	inhibits	COX‑1
non‑steroidal	inhibits	COX‑2
non‑steroidal	causes	gastric ulcer
non‑steroidal	causes	renal impairment
non‑steroidal	causes	bleeding
non‑steroidal	contraindicated in	heart failure
non‑steroidal	contraindicated in	kidney disease
non‑steroidal	contraindicated in	peptic ulcer
non‑steroidal	contraindicated in	pregnancy
non‑steroidal	contraindicated in	asthma
non‑steroidal	contraindicated in	liver disease
non‑steroidal	contraindicated in	elderly
non‑steroidal	used for	osteoarthritis
non‑steroidal	used for	rheumatoid arthritis
non‑steroidal	used for	gout
non‑steroidal	used for	ankylosing spondylitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	tendinitis
non‑steroidal	used for	muscle strain
non‑steroidal	used for	back pain
non‑steroidal	used for	headache
non‑steroidal	used for	dental pain
non‑steroidal	used for	menstrual pain
non‑steroidal	used for	post‑operative pain
non‑steroidal	used for	neuropathic pain
non‑steroidal	used for	inflammatory bowel disease
non‑steroidal	used for	psoriasis
non‑steroidal	used for	eczema
non‑steroidal	used for	allergic rhinitis
non‑steroidal	used for	asthma
non‑steroidal	used for	sinusitis
non‑steroidal	used for	arthritis flare
non‑steroidal	used for	tendonitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
non‑steroidal	used for	bursitis
