antihistamines	are	drugs
antihistamines	treat	allergies
antihistamines	block	H1 receptors
H1 receptors	located on	mast cells
mast cells	release	histamine
histamine	causes	itching
antihistamines	reduce	itching
antihistamines	reduce	sneezing
antihistamines	reduce	runny nose
antihistamines	reduce	watery eyes
antihistamines	used for	urticaria
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic conjunctivitis
antihistamines	used for	anaphylaxis
antihistamines	used for	allergic asthma
antihistamines	used for	drug reactions
antihistamines	used for	food allergies
antihistamines	used for	insect bites
antihistamines	used for	hives
antihistamines	used for	eczema
antihistamines	used for	dermatitis
antihistamines	used for	pruritus
antihistamines	used for	allergic dermatitis
antihistamines	used for	allergic skin reactions
antihistamines	used for	allergic urticaria
antihistamines	used for	allergic rhinosinusitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic conjunctivitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
antihistamines	used for	allergic rhinitis
