ATC	includes	respiratory system products
respiratory system products	classified by	ATC
respiratory system products	used for	asthma
respiratory system products	used for	COPD
respiratory system products	used for	bronchitis
respiratory system products	used for	emphysema
respiratory system products	used for	cystic fibrosis
respiratory system products	used for	pneumonia
respiratory system products	used for	tuberculosis
respiratory system products	used for	allergic rhinitis
respiratory system products	used for	sinusitis
respiratory system products	used for	nasal congestion
respiratory system products	used for	chronic cough
respiratory system products	used for	acute bronchitis
respiratory system products	used for	bronchiectasis
respiratory system products	used for	pulmonary fibrosis
respiratory system products	used for	lung cancer
respiratory system products	used for	pulmonary embolism
respiratory system products	used for	pneumonia prophylaxis
respiratory system products	used for	sleep apnea
respiratory system products	used for	asthma prophylaxis
respiratory system products	used for	COPD exacerbation
respiratory system products	used for	bronchial hyperresponsiveness
respiratory system products	used for	airway obstruction
respiratory system products	used for	lung infection
respiratory system products	used for	viral respiratory infection
respiratory system products	used for	bacterial respiratory infection
respiratory system products	used for	fungal respiratory infection
respiratory system products	used for	allergic asthma
respiratory system products	used for	non‑allergic asthma
respiratory system products	used for	exercise‑induced bronchospasm
respiratory system products	used for	occupational asthma
respiratory system products	used for	drug‑induced asthma
respiratory system products	used for	viral bronchiolitis
respiratory system products	used for	post‑viral cough
respiratory system products	used for	chronic sinusitis
respiratory system products	used for	allergic rhinosinusitis
respiratory system products	used for	non‑allergic rhinosinusitis
respiratory system products	used for	nasal polyps
respiratory system products	used for	chronic rhinitis
respiratory system products	used for	acute rhinitis
respiratory system products	used for	post‑nasal drip
respiratory system products	used for	upper airway resistance
respiratory system products	used for	lower airway resistance
respiratory system products	used for	airway inflammation
respiratory system products	used for	airway hyperreactivity
respiratory system products	used for	airway remodeling
respiratory system products	used for	airway remodeling prevention
respiratory system products	used for	airway remodeling reversal
respiratory system products	used for	airway remodeling assessment
respiratory system products	used for	airway remodeling monitoring
respiratory system products	used for	airway remodeling prediction
respiratory system products	used for	airway remodeling therapy
respiratory system products	used for	airway remodeling surgery
respiratory system products	used for	airway remodeling device
respiratory system products	used for	airway remodeling biomarker
respiratory system products	used for	airway remodeling imaging
respiratory system products	used for	airway remodeling genetics
respiratory system products	used for	airway remodeling epigenetics
respiratory system products	used for	airway remodeling proteomics
respiratory system products	used for	airway remodeling metabolomics
respiratory system products	used for	airway remodeling transcriptomics
respiratory system products	used for	airway remodeling microbiome
respiratory system products	used for	airway remodeling pharmacogenomics
respiratory system products	used for	airway remodeling drug response
respiratory system products	used for	airway remodeling drug resistance
respiratory system products	used for	airway remodeling drug efficacy
respiratory system products	used for	airway remodeling drug safety
respiratory system products	used for	airway remodeling drug toxicity
respiratory system products	used for	airway remodeling drug interactions
respiratory system products	used for	airway remodeling drug metabolism
respiratory system products	used for	airway remodeling drug transport
respiratory system products	used for	airway remodeling drug absorption
respiratory system products	used for	airway remodeling drug distribution
respiratory system products	used for	airway remodeling drug elimination
respiratory system products	used for	airway remodeling drug half‑life
respiratory system products	used for	airway remodeling drug clearance
respiratory system products	used for	airway remodeling drug potency
respiratory system products	used for	airway remodeling drug potency index
respiratory system products	used for	airway remodeling drug potency assay
respiratory system products	used for	airway remodeling drug potency measurement
respiratory system products	used for	airway remodeling drug potency evaluation
respiratory system products	used for	airway remodeling drug potency prediction
respiratory system products	used for	airway remodeling drug potency optimization
respiratory system products	used for	airway remodeling drug potency modeling
respiratory system products	used for	airway remodeling drug potency simulation
respiratory system products	used for	airway remodeling drug potency analysis
respiratory system products	used for	airway remodeling drug potency forecast
respiratory system products	used for	airway remodeling drug potency risk
respiratory system products	used for	airway remodeling drug potency safety
respiratory system products	used for	airway remodeling drug potency efficacy
respiratory system products	used for	airway remodeling drug potency toxicity
respiratory system products	used for	airway remodeling drug potency interactions
respiratory system products	used for	airway remodeling drug potency metabolism
respiratory system products	used for	airway remodeling drug potency transport
respiratory system products	used for	airway remodeling drug potency absorption
respiratory system products	used for	airway remodeling drug potency distribution
respiratory system products	used for	airway remodeling drug potency elimination
respiratory system products	used for	airway remodeling drug potency half‑life
respiratory system products	used for	airway remodeling drug potency clearance
