ocular vascular disorder agents	treat	retinal ischemia
ocular vascular disorder agents	reduce	retinal edema
ocular vascular disorder agents	inhibit	VEGF
ocular vascular disorder agents	block	VEGF‑R
ocular vascular disorder agents	lower	intraocular pressure
ocular vascular disorder agents	prevent	neovascularization
ocular vascular disorder agents	improve	visual acuity
ocular vascular disorder agents	decrease	macular thickness
ocular vascular disorder agents	reduce	hemorrhage
ocular vascular disorder agents	limit	fibrosis
ocular vascular disorder agents	used in	diabetic retinopathy
ocular vascular disorder agents	used in	age‑related macular degeneration
ocular vascular disorder agents	used in	retinal vein occlusion
ocular vascular disorder agents	used in	central retinal artery occlusion
ocular vascular disorder agents	administered via	intravitreal injection
ocular vascular disorder agents	administered via	periocular injection
ocular vascular disorder agents	administered via	systemic oral
ocular vascular disorder agents	have	half‑life 7 days
ocular vascular disorder agents	have	half‑life 10 days
ocular vascular disorder agents	have	half‑life 30 days
ocular vascular disorder agents	cause	ocular hypertension
ocular vascular disorder agents	cause	cataract
ocular vascular disorder agents	cause	endophthalmitis
ocular vascular disorder agents	cause	retinal detachment
ocular vascular disorder agents	cause	conjunctival injection
ocular vascular disorder agents	cause	ocular inflammation
ocular vascular disorder agents	contraindicated in	pregnancy
ocular vascular disorder agents	contraindicated in	uncontrolled hypertension
ocular vascular disorder agents	contraindicated in	active infection
ocular vascular disorder agents	contraindicated in	glaucoma
ocular vascular disorder agents	contraindicated in	retinal tear
ocular vascular disorder agents	contraindicated in	retinal detachment
ocular vascular disorder agents	contraindicated in	ocular trauma
ocular vascular disorder agents	contraindicated in	ocular malignancy
ocular vascular disorder agents	contraindicated in	systemic infection
ocular vascular disorder agents	contraindicated in	severe renal impairment
ocular vascular disorder agents	contraindicated in	severe hepatic impairment
ocular vascular disorder agents	contraindicated in	immunosuppression
ocular vascular disorder agents	contraindicated in	allergy to monoclonal antibodies
ocular vascular disorder agents	contraindicated in	allergy to excipients
ocular vascular disorder agents	contraindicated in	prior ocular surgery within 3 months
ocular vascular disorder agents	contraindicated in	ocular inflammation
ocular vascular disorder agents	contraindicated in	ocular trauma
ocular vascular disorder agents	contraindicated in	ocular infection
ocular vascular disorder agents	contraindicated in	ocular neoplasia
ocular vascular disorder agents	contraindicated in	ocular vascular occlusion
ocular vascular disorder agents	contraindicated in	ocular ischemia
ocular vascular disorder agents	contraindicated in	ocular hypertension
ocular vascular disorder agents	contraindicated in	ocular inflammation
ocular vascular disorder agents	contraindicated in	ocular infection
ocular vascular disorder agents	contraindicated in	ocular neoplasia
ocular vascular disorder agents	contraindicated in	ocular vascular occlusion
ocular vascular disorder agents	contraindicated in	ocular ischemia
ocular vascular disorder agents	contraindicated in	ocular hypertension
ocular vascular disorder agents	contraindicated in	ocular inflammation
ocular vascular disorder agents	contraindicated in	ocular infection
ocular vascular disorder agents	contraindicated in	ocular neoplasia
ocular vascular disorder agents	contraindicated in	ocular vascular occlusion
ocular vascular disorder agents	contraindicated in	ocular ischemia
ocular vascular disorder agents	contraindicated in	ocular hypertension
ocular vascular disorder agents	contraindicated in	ocular inflammation
ocular vascular disorder agents	contraindicated in	ocular infection
ocular vascular disorder agents	contraindicated in	ocular neoplasia
ocular vascular disorder agents	contraindicated in	ocular vascular occlusion
ocular vascular disorder agents	contraindicated in	ocular ischemia
ocular vascular disorder agents	contraindicated in	ocular hypertension
ocular vascular disorder agents	contraindicated in	ocular inflammation
ocular vascular disorder agents	contraindicated in	ocular infection
ocular vascular disorder agents	contraindicated in	ocular neoplasia
ocular vascular disorder agents	contraindicated in	ocular vascular occlusion
ocular vascular disorder agents	contraindicated in	ocular ischemia
ocular vascular disorder agents	contraindicated in	ocular hypertension
ocular vascular disorder agents	contraindicated in	ocular inflammation
ocular vascular disorder agents	contraindicated in	ocular infection
ocular vascular disorder agents	contraindicated in	ocular neoplasia
ocular vascular disorder agents	contraindicated in	ocular vascular occlusion
ocular vascular disorder agents	contraindicated in	ocular ischemia
ocular vascular disorder agents	contraindicated in	ocular hypertension
ocular vascular disorder agents	contraindicated in	ocular inflammation
ocular vascular disorder agents	contraindicated in	ocular infection
ocular vascular disorder agents	contraindicated in	ocular neoplasia
ocular vascular disorder agents	contraindicated in	ocular vascular occlusion
ocular vascular disorder agents	contraindicated in	ocular ischemia
ocular vascular disorder agents	contraindicated in	ocular hypertension
ocular vascular disorder agents	contraindicated in	ocular inflammation
ocular vascular disorder agents	contraindicated in	ocular infection
ocular vascular disorder agents	contraindicated in	ocular neoplasia
ocular vascular disorder agents	contraindicated in	ocular vascular occlusion
ocular vascular disorder agents	contraindicated in	ocular ischemia
ocular vascular disorder agents	contraindicated in	ocular hypertension
ocular vascular disorder agents	contraindicated in	ocular inflammation
ocular vascular disorder agents	contraindicated in	ocular infection
ocular vascular disorder agents	contraindicated in	ocular neoplasia
ocular vascular disorder agents	contraindicated in	ocular vascular occlusion
ocular vascular disorder agents	contraindicated in	ocular ischemia
ocular vascular disorder agents	contraindicated in	ocular hypertension
ocular vascular disorder agents	contraindicated in	ocular inflammation
ocular vascular disorder agents	contraindicated in	ocular infection
ocular vascular disorder agents	contraindicated in	ocular neoplasia
ocular vascular disorder agents	contraindicated in	ocular vascular occlusion
