corticosteroid otologicals	are	medication
corticosteroid otologicals	treat	ear inflammation
corticosteroid otologicals	reduce	edema
corticosteroid otologicals	improve	hearing loss
corticosteroid otologicals	used for	otitis media
corticosteroid otologicals	used for	labyrinthitis
corticosteroid otologicals	used for	Meniere disease
corticosteroid otologicals	used for	vestibular neuritis
corticosteroid otologicals	used for	sudden sensorineural hearing loss
corticosteroid otologicals	administered	intratympanic
corticosteroid otologicals	administered	systemic
corticosteroid otologicals	administered	topical
corticosteroid otologicals	dosage	varies
corticosteroid otologicals	side effect	nausea
corticosteroid otologicals	side effect	insomnia
corticosteroid otologicals	side effect	weight gain
corticosteroid otologicals	side effect	hypertension
corticosteroid otologicals	side effect	osteoporosis
corticosteroid otologicals	side effect	cataract
corticosteroid otologicals	contraindicated	pregnancy
corticosteroid otologicals	contraindicated	uncontrolled diabetes
corticosteroid otologicals	contraindicated	active infection
corticosteroid otologicals	contraindicated	fungal infection
corticosteroid otologicals	contraindicated	peptic ulcer
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	adrenal insufficiency
corticosteroid otologicals	contraindicated	immunosuppression
corticosteroid otologicals	contraindicated	viral meningitis
corticosteroid otologicals	contraindicated	bacterial meningitis
corticosteroid otologicals	contraindicated	tuberculosis
corticosteroid otologicals	contraindicated	HIV infection
corticosteroid otologicals	contraindicated	chronic kidney disease
corticosteroid otologicals	contraindicated	liver disease
corticosteroid otologicals	contraindicated	heart failure
corticosteroid otologicals	contraindicated	asthma
corticosteroid otologicals	contraindicated	depression
corticosteroid otologicals	contraindicated	anxiety
corticosteroid otologicals	contraindicated	bipolar disorder
corticosteroid otologicals	contraindicated	psychosis
corticosteroid otologicals	contraindicated	seizure disorder
corticosteroid otologicals	contraindicated	migraine
corticosteroid otologicals	contraindicated	hypertension
corticosteroid otologicals	contraindicated	hyperlipidemia
corticosteroid otologicals	contraindicated	gout
corticosteroid otologicals	contraindicated	arthritis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteopenia
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
corticosteroid otologicals	contraindicated	osteoporosis
