otologicals	belong to	ATC
otologicals	include	ear drops
otologicals	include	ear ointments
otologicals	include	ear sprays
ear drops	treat	otitis externa
ear ointments	treat	otitis media
ear sprays	treat	tinnitus
otologicals	contain	antibiotics
otologicals	contain	antifungals
otologicals	contain	steroids
antibiotics	reduce	bacterial infection
antifungals	reduce	fungal infection
steroids	reduce	inflammation
otologicals	used for	hearing loss
otologicals	used for	vertigo
otologicals	used for	ear pain
otologicals	used for	ear wax removal
otologicals	used for	ear congestion
otologicals	used for	ear pressure
otologicals	used for	ear discharge
otologicals	used for	ear itching
otologicals	used for	ear swelling
otologicals	used for	ear infection
otologicals	used for	ear inflammation
otologicals	used for	ear trauma
otologicals	used for	ear surgery
otologicals	used for	ear cleaning
otologicals	used for	ear irrigation
otologicals	used for	ear protection
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
otologicals	used for	ear rehabilitation
