corticosteroid	is a	drug
corticosteroid	treats	inflammation
corticosteroid	reduces	edema
corticosteroid	suppresses	immune response
corticosteroid	used in	eye disease
corticosteroid	used in	ear disease
corticosteroid	applied topically	eye
corticosteroid	applied topically	ear
eye disease	includes	uveitis
eye disease	includes	conjunctivitis
ear disease	includes	otitis media
ear disease	includes	Meniere disease
corticosteroid	improves	visual acuity
corticosteroid	improves	hearing
corticosteroid	may cause	intraocular pressure rise
corticosteroid	may cause	cataract
corticosteroid	may cause	tympanic membrane perforation
corticosteroid	contraindicated in	active infection
corticosteroid	contraindicated in	glaucoma
corticosteroid	contraindicated in	steroid‑responsive glaucoma
corticosteroid	contraindicated in	uncontrolled diabetes
corticosteroid	contraindicated in	pregnancy
corticosteroid	contraindicated in	lactation
corticosteroid	dosage	depends on severity
corticosteroid	dosage	depends on age
corticosteroid	dosage	depends on route
corticosteroid	dosage	depends on formulation
corticosteroid	formulation	drops
corticosteroid	formulation	ointment
corticosteroid	formulation	spray
corticosteroid	formulation	gel
corticosteroid	formulation	solution
corticosteroid	formulation	suspension
corticosteroid	formulation	foam
corticosteroid	formulation	eye drop
corticosteroid	formulation	ear drop
corticosteroid	formulation	intratympanic injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	subconjunctival injection
corticosteroid	formulation	intravitreal injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
corticosteroid	formulation	periocular injection
