iodinated	is a	contrast agent
iodinated	used in	imaging
iodinated	enhances	X‑ray visibility
iodinated	contains	iodine
iodinated	has	high atomic number
iodinated	increases	X‑ray attenuation
iodinated	administered	intravenously
iodinated	administered	orally
iodinated	contraindicated in	renal failure
iodinated	contraindicated in	pregnancy
iodinated	contraindicated in	allergy
iodinated	causes	nephrotoxicity
iodinated	causes	contrast‑induced nephropathy
iodinated	causes	anaphylaxis
iodinated	causes	nausea
iodinated	causes	vomiting
iodinated	causes	flushing
iodinated	causes	itching
iodinated	causes	headache
iodinated	causes	dizziness
iodinated	causes	rash
iodinated	causes	fever
iodinated	causes	hypotension
iodinated	causes	tachycardia
iodinated	causes	edema
iodinated	causes	hyperthyroidism
iodinated	causes	hypercalcemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperlipidemia
iodinated	causes	hyperglycemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
iodinated	causes	hyperuricemia
