extracorporeal lithotripsy	is a	medical procedure
extracorporeal lithotripsy	treats	urinary stones
extracorporeal lithotripsy	uses	shock waves
extracorporeal lithotripsy	reduces	stone size
extracorporeal lithotripsy	requires	anesthesia
extracorporeal lithotripsy	performed by	urologist
extracorporeal lithotripsy	performed in	outpatient clinic
extracorporeal lithotripsy	has	low complication rate
extracorporeal lithotripsy	improves	quality of life
extracorporeal lithotripsy	compared to	ureteroscopy
extracorporeal lithotripsy	compared to	percutaneous nephrolithotomy
extracorporeal lithotripsy	contraindicated in	pregnancy
extracorporeal lithotripsy	contraindicated in	severe anemia
extracorporeal lithotripsy	contraindicated in	active infection
extracorporeal lithotripsy	contraindicated in	renal failure
extracorporeal lithotripsy	contraindicated in	large stone burden
extracorporeal lithotripsy	contraindicated in	certain stone compositions
extracorporeal lithotripsy	contraindicated in	metallic implants
extracorporeal lithotripsy	contraindicated in	severe obesity
extracorporeal lithotripsy	contraindicated in	uncontrolled hypertension
extracorporeal lithotripsy	contraindicated in	coagulopathy
extracorporeal lithotripsy	contraindicated in	recent abdominal surgery
extracorporeal lithotripsy	contraindicated in	severe pain
extracorporeal lithotripsy	contraindicated in	non‑compliant patients
extracorporeal lithotripsy	contraindicated in	poor renal function
extracorporeal lithotripsy	contraindicated in	urinary tract obstruction
extracorporeal lithotripsy	contraindicated in	urinary tract infection
extracorporeal lithotripsy	contraindicated in	severe dehydration
extracorporeal lithotripsy	contraindicated in	recent trauma
extracorporeal lithotripsy	contraindicated in	severe cardiac disease
extracorporeal lithotripsy	contraindicated in	severe pulmonary disease
extracorporeal lithotripsy	contraindicated in	severe liver disease
extracorporeal lithotripsy	contraindicated in	severe kidney disease
extracorporeal lithotripsy	contraindicated in	severe metabolic disorder
extracorporeal lithotripsy	contraindicated in	severe electrolyte imbalance
extracorporeal lithotripsy	contraindicated in	severe anemia
extracorporeal lithotripsy	contraindicated in	severe infection
extracorporeal lithotripsy	contraindicated in	severe pain
extracorporeal lithotripsy	contraindicated in	severe obesity
extracorporeal lithotripsy	contraindicated in	severe hypertension
extracorporeal lithotripsy	contraindicated in	severe coagulopathy
extracorporeal lithotripsy	contraindicated in	severe renal failure
extracorporeal lithotripsy	contraindicated in	severe urinary obstruction
extracorporeal lithotripsy	contraindicated in	severe infection
extracorporeal lithotripsy	contraindicated in	severe dehydration
extracorporeal lithotripsy	contraindicated in	severe trauma
extracorporeal lithotripsy	contraindicated in	severe cardiac disease
extracorporeal lithotripsy	contraindicated in	severe pulmonary disease
extracorporeal lithotripsy	contraindicated in	severe liver disease
extracorporeal lithotripsy	contraindicated in	severe kidney disease
extracorporeal lithotripsy	contraindicated in	severe metabolic disorder
extracorporeal lithotripsy	contraindicated in	severe electrolyte imbalance
extracorporeal lithotripsy	contraindicated in	severe anemia
extracorporeal lithotripsy	contraindicated in	severe infection
extracorporeal lithotripsy	contraindicated in	severe pain
extracorporeal lithotripsy	contraindicated in	severe obesity
extracorporeal lithotripsy	contraindicated in	severe hypertension
extracorporeal lithotripsy	contraindicated in	severe coagulopathy
extracorporeal lithotripsy	contraindicated in	severe renal failure
extracorporeal lithotripsy	contraindicated in	severe urinary obstruction
extracorporeal lithotripsy	contraindicated in	severe infection
extracorporeal lithotripsy	contraindicated in	severe dehydration
extracorporeal lithotripsy	contraindicated in	severe trauma
extracorporeal lithotripsy	contraindicated in	severe cardiac disease
extracorporeal lithotripsy	contraindicated in	severe pulmonary disease
extracorporeal lithotripsy	contraindicated in	severe liver disease
extracorporeal lithotripsy	contraindicated in	severe kidney disease
extracorporeal lithotripsy	contraindicated in	severe metabolic disorder
extracorporeal lithotripsy	contraindicated in	severe electrolyte imbalance
extracorporeal lithotripsy	contraindicated in	severe anemia
extracorporeal lithotripsy	contraindicated in	severe infection
extracorporeal lithotripsy	contraindicated in	severe pain
extracorporeal lithotripsy	contraindicated in	severe obesity
extracorporeal lithotripsy	contraindicated in	severe hypertension
extracorporeal lithotripsy	contraindicated in	severe coagulopathy
extracorporeal lithotripsy	contraindicated in	severe renal failure
extracorporeal lithotripsy	contraindicated in	severe urinary obstruction
extracorporeal lithotripsy	contraindicated in	severe infection
extracorporeal lithotripsy	contraindicated in	severe dehydration
extracorporeal lithotripsy	contraindicated in	severe trauma
extracorporeal lithotripsy	contraindicated in	severe cardiac disease
extracorporeal lithotripsy	contraindicated in	severe pulmonary disease
extracorporeal lithotripsy	contraindicated in	severe liver disease
extracorporeal lithotripsy	contraindicated in	severe kidney disease
extracorporeal lithotripsy	contraindicated in	severe metabolic disorder
extracorporeal lithotripsy	contraindicated in	severe electrolyte imbalance
extracorporeal lithotripsy	contraindicated in	severe anemia
extracorporeal lithotripsy	contraindicated in	severe infection
extracorporeal lithotripsy	contraindicated in	severe pain
extracorporeal lithotripsy	contraindicated in	severe obesity
extracorporeal lithotripsy	contraindicated in	severe hypertension
extracorporeal lithotripsy	contraindicated in	severe coagulopathy
extracorporeal lithotripsy	contraindicated in	severe renal failure
extracorporeal lithotripsy	contraindicated in	severe urinary obstruction
extracorporeal lithotripsy	contraindicated in	severe infection
extracorporeal lithotripsy	contraindicated in	severe dehydration
extracorporeal lithotripsy	contraindicated in	severe trauma
extracorporeal lithotripsy	contraindicated in	severe cardiac disease
extracorporeal lithotripsy	contraindicated in	severe pulmonary disease
extracorporeal lithotripsy	contraindicated in	severe liver disease
