mammography	is a	imaging modality
mammography	detects	breast cancer
mammography	used for	screening
mammography	used for	diagnosis
mammography	uses	X‑ray
mammography	requires	compression
mammography	performed by	radiologist
mammography	produces	mammogram
mammogram	shows	breast tissue
mammogram	reveals	calcifications
mammogram	reveals	masses
mammogram	reveals	asymmetry
mammogram	reveals	architectural distortion
mammogram	can be	digital
mammogram	can be	film
mammogram	can be	tomosynthesis
tomosynthesis	improves	detection
tomosynthesis	reduces	false positives
mammography	has	radiation dose
radiation dose	is	low
mammography	contraindicated in	pregnancy
mammography	contraindicated in	lactation
mammography	contraindicated in	breast implants
mammography	contraindicated in	severe breast pain
mammography	contraindicated in	recent breast surgery
mammography	contraindicated in	breast trauma
mammography	contraindicated in	breast infection
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
mammography	contraindicated in	breast edema
