CABG	is a	surgical procedure
CABG	treats	coronary artery disease
CABG	improves	cardiac output
CABG	reduces	angina
CABG	lowers	mortality
CABG	requires	cardiopulmonary bypass
CABG	involves	graft placement
CABG	uses	saphenous vein
CABG	uses	internal mammary artery
CABG	uses	radial artery
CABG	performed	on-pump
CABG	performed	off-pump
CABG	has	perioperative risk
CABG	increases	postoperative pain
CABG	increases	infection risk
CABG	increases	atrial fibrillation
CABG	increases	stroke risk
CABG	increases	renal dysfunction
CABG	increases	pulmonary complications
CABG	increases	wound complications
CABG	reduces	need for revascularization
CABG	reduces	need for PCI
CABG	reduces	need for stent
CABG	reduces	need for medication
CABG	reduces	need for beta blockers
CABG	reduces	need for nitrates
CABG	reduces	need for aspirin
CABG	reduces	need for clopidogrel
CABG	reduces	need for statins
CABG	reduces	need for ACE inhibitors
CABG	reduces	need for ARBs
CABG	reduces	need for diuretics
CABG	reduces	need for calcium channel blockers
CABG	reduces	need for antiarrhythmics
CABG	reduces	need for anticoagulants
CABG	reduces	need for antiplatelets
CABG	reduces	need for lipid-lowering drugs
CABG	reduces	need for glucose-lowering drugs
CABG	reduces	need for antihypertensives
CABG	reduces	need for pain medication
CABG	reduces	need for opioids
CABG	reduces	need for NSAIDs
CABG	reduces	need for steroids
CABG	reduces	need for immunosuppressants
CABG	reduces	need for antibiotics
CABG	reduces	need for antifungals
CABG	reduces	need for antivirals
CABG	reduces	need for anti-inflammatory drugs
CABG	reduces	need for anti-platelet agents
CABG	reduces	need for anticoagulants
CABG	reduces	need for antithrombotic agents
CABG	reduces	need for antiarrhythmic agents
CABG	reduces	need for anti-ischemic agents
CABG	reduces	need for anti-ischemic drugs
CABG	reduces	need for anti-ischemic medication
CABG	reduces	need for anti-ischemic therapy
CABG	reduces	need for anti-ischemic treatment
CABG	reduces	need for anti-ischemic regimen
CABG	reduces	need for anti-ischemic protocol
CABG	reduces	need for anti-ischemic plan
CABG	reduces	need for anti-ischemic strategy
CABG	reduces	need for anti-ischemic approach
CABG	reduces	need for anti-ischemic intervention
CABG	reduces	need for anti-ischemic procedure
CABG	reduces	need for anti-ischemic operation
CABG	reduces	need for anti-ischemic surgery
CABG	reduces	need for anti-ischemic operation
CABG	reduces	need for anti-ischemic procedure
CABG	reduces	need for anti-ischemic surgery
CABG	reduces	need for anti-ischemic operation
CABG	reduces	need for anti-ischemic procedure
CABG	reduces	need for anti-ischemic surgery
CABG	reduces	need for anti-ischemic operation
CABG	reduces	need for anti-ischemic procedure
CABG	reduces	need for anti-ischemic surgery
CABG	reduces	need for anti-ischemic operation
CABG	reduces	need for anti-ischemic procedure
CABG	reduces	need for anti-ischemic surgery
