exploratory laparotomy	is a	surgical procedure
exploratory laparotomy	performed for	abdominal pain
exploratory laparotomy	indicated in	acute abdomen
exploratory laparotomy	used to	locate perforation
exploratory laparotomy	used to	identify tumor
exploratory laparotomy	performed on	emergency
exploratory laparotomy	performed on	elective
exploratory laparotomy	requires	general anesthesia
exploratory laparotomy	involves	abdominal incision
exploratory laparotomy	involves	bowel mobilization
exploratory laparotomy	involves	organ resection
exploratory laparotomy	involves	tissue sampling
exploratory laparotomy	can lead to	postoperative pain
exploratory laparotomy	can lead to	infection
exploratory laparotomy	can lead to	bleeding
exploratory laparotomy	can lead to	organ injury
exploratory laparotomy	can lead to	ileus
exploratory laparotomy	can lead to	sepsis
exploratory laparotomy	can lead to	mortality
exploratory laparotomy	reduces risk of	missed pathology
exploratory laparotomy	increases risk of	complications
exploratory laparotomy	improves	diagnostic accuracy
exploratory laparotomy	improves	treatment planning
exploratory laparotomy	improves	survival in perforation
exploratory laparotomy	improves	survival in peritonitis
exploratory laparotomy	improves	survival in mesenteric ischemia
exploratory laparotomy	improves	survival in trauma
exploratory laparotomy	improves	survival in ovarian cancer
exploratory laparotomy	improves	survival in pancreatic cancer
exploratory laparotomy	improves	survival in colorectal cancer
exploratory laparotomy	improves	survival in gastric cancer
exploratory laparotomy	improves	survival in small bowel obstruction
exploratory laparotomy	improves	survival in volvulus
exploratory laparotomy	improves	survival in intussusception
exploratory laparotomy	improves	survival in diverticulitis
exploratory laparotomy	improves	survival in appendicitis
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
exploratory laparotomy	improves	survival in ectopic pregnancy
