excision	is a	surgical procedure
excision	removes	tissue
excision	performed by	surgeon
excision	uses	scalpel
excision	requires	anesthesia
excision	can cause	bleeding
excision	can cause	infection
excision	reduces	tumor size
excision	improves	prognosis
excision	increases	survival rate
excision	leads to	scar tissue
excision	may need	wound closure
excision	can be	minimally invasive
excision	can be	open surgery
excision	is indicated for	benign lesions
excision	is indicated for	malignant lesions
excision	is indicated for	cysts
excision	is indicated for	tumors
excision	is indicated for	polyps
excision	is indicated for	granulomas
excision	is indicated for	abscesses
excision	is indicated for	adhesions
excision	is indicated for	scar tissue
excision	is indicated for	hernias
excision	is indicated for	hernia repair
excision	is indicated for	organ removal
excision	is indicated for	organ biopsy
excision	is indicated for	organ resection
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
excision	is indicated for	organ removal
