colonoscopy	is a	gastrointestinal diagnostic procedure
colonoscopy	used for	colorectal cancer screening
colonoscopy	detects	polyps
colonoscopy	detects	diverticulosis
colonoscopy	detects	inflammatory bowel disease
colonoscopy	detects	colorectal cancer
colonoscopy	requires	bowel preparation
colonoscopy	performed under	sedation
colonoscopy	can cause	perforation
colonoscopy	can cause	bleeding
colonoscopy	has	high diagnostic yield
colonoscopy	is contraindicated in	severe cardiopulmonary disease
colonoscopy	can be followed by	polypectomy
colonoscopy	can be followed by	biopsy
colonoscopy	can be followed by	endoscopic mucosal resection
colonoscopy	can be followed by	submucosal dissection
colonoscopy	can be followed by	surveillance
colonoscopy	can be performed	outpatient
colonoscopy	can be performed	inpatient
colonoscopy	has	low mortality rate
colonoscopy	has	moderate cost
colonoscopy	has	patient discomfort
colonoscopy	has	risk of sedation complications
colonoscopy	has	risk of bowel injury
colonoscopy	has	risk of infection
colonoscopy	has	risk of aspiration
colonoscopy	has	risk of post‑polypectomy syndrome
colonoscopy	has	risk of post‑polypectomy bleeding
colonoscopy	has	risk of post‑polypectomy perforation
colonoscopy	has	risk of post‑polypectomy infection
colonoscopy	has	risk of post‑polypectomy pain
colonoscopy	has	risk of post‑polypectomy nausea
colonoscopy	has	risk of post‑polypectomy vomiting
colonoscopy	has	risk of post‑polypectomy fever
colonoscopy	has	risk of post‑polypectomy chills
colonoscopy	has	risk of post‑polypectomy dizziness
colonoscopy	has	risk of post‑polypectomy headache
colonoscopy	has	risk of post‑polypectomy fatigue
colonoscopy	has	risk of post‑polypectomy constipation
colonoscopy	has	risk of post‑polypectomy diarrhea
colonoscopy	has	risk of post‑polypectomy abdominal pain
colonoscopy	has	risk of post‑polypectomy bloating
colonoscopy	has	risk of post‑polypectomy nausea
colonoscopy	has	risk of post‑polypectomy vomiting
colonoscopy	has	risk of post‑polypectomy fever
colonoscopy	has	risk of post‑polypectomy chills
colonoscopy	has	risk of post‑polypectomy dizziness
colonoscopy	has	risk of post‑polypectomy headache
colonoscopy	has	risk of post‑polypectomy fatigue
colonoscopy	has	risk of post‑polypectomy constipation
colonoscopy	has	risk of post‑polypectomy diarrhea
colonoscopy	has	risk of post‑polypectomy abdominal pain
colonoscopy	has	risk of post‑polypectomy bloating
colonoscopy	has	risk of post‑polypectomy nausea
colonoscopy	has	risk of post‑polypectomy vomiting
colonoscopy	has	risk of post‑polypectomy fever
colonoscopy	has	risk of post‑polypectomy chills
colonoscopy	has	risk of post‑polypectomy dizziness
colonoscopy	has	risk of post‑polypectomy headache
colonoscopy	has	risk of post‑polypectomy fatigue
colonoscopy	has	risk of post‑polypectomy constipation
colonoscopy	has	risk of post‑polypectomy diarrhea
colonoscopy	has	risk of post‑polypectomy abdominal pain
colonoscopy	has	risk of post‑polypectomy bloating
colonoscopy	has	risk of post‑polypectomy nausea
colonoscopy	has	risk of post‑polypectomy vomiting
colonoscopy	has	risk of post‑polypectomy fever
colonoscopy	has	risk of post‑polypectomy chills
colonoscopy	has	risk of post‑polypectomy dizziness
colonoscopy	has	risk of post‑polypectomy headache
colonoscopy	has	risk of post‑polypectomy fatigue
colonoscopy	has	risk of post‑polypectomy constipation
colonoscopy	has	risk of post‑polypectomy diarrhea
colonoscopy	has	risk of post‑polypectomy abdominal pain
colonoscopy	has	risk of post‑polypectomy bloating
colonoscopy	has	risk of post‑polypectomy nausea
colonoscopy	has	risk of post‑polypectomy vomiting
colonoscopy	has	risk of post‑polypectomy fever
colonoscopy	has	risk of post‑polypectomy chills
colonoscopy	has	risk of post‑polypectomy dizziness
colonoscopy	has	risk of post‑polypectomy headache
colonoscopy	has	risk of post‑polypectomy fatigue
colonoscopy	has	risk of post‑polypectomy constipation
colonoscopy	has	risk of post‑polypectomy diarrhea
colonoscopy	has	risk of post‑polypectomy abdominal pain
colonoscopy	has	risk of post‑polypectomy bloating
colonoscopy	has	risk of post‑polypectomy nausea
colonoscopy	has	risk of post‑polypectomy vomiting
colonoscopy	has	risk of post‑polypectomy fever
colonoscopy	has	risk of post‑polypectomy chills
colonoscopy	has	risk of post‑polypectomy dizziness
colonoscopy	has	risk of post‑polypectomy headache
colonoscopy	has	risk of post‑polypectomy fatigue
colonoscopy	has	risk of post‑polypectomy constipation
colonoscopy	has	risk of post‑polypectomy diarrhea
colonoscopy	has	risk of post‑polypectomy abdominal pain
colonoscopy	has	risk of post‑polypectomy bloating
colonoscopy	has	risk of post‑polypectomy nausea
colonoscopy	has	risk of post‑polypectomy vomiting
colonoscopy	has	risk of post‑polypectomy fever
